STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
16741099999,2009-09-15,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",73.7,5,63.7,5,1017.6,5,8.8,5,6.2,5,10.2,5,15.0,999.9,79.7, ,68.5,*,0.0,E,999.9,0
16741099999,2009-09-16,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",72.4,8,61.6,8,1016.7,8,7.9,8,6.1,8,5.9,8,12.0,999.9,81.5, ,64.2, ,0.0,G,999.9,0
16741099999,2009-09-17,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",72.6,8,58.6,8,1013.4,8,4.7,8,6.1,8,4.1,8,8.9,999.9,82.8, ,61.3, ,0.0,G,999.9,10010
16741099999,2009-09-18,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",72.5,8,62.1,8,1012.4,8,3.6,8,6.0,8,5.1,8,11.1,999.9,79.5, ,63.7, ,0.13,G,999.9,10010
16741099999,2009-09-19,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",72.7,8,59.1,8,1014.1,8,5.4,8,6.2,8,10.4,8,15.0,999.9,79.3, ,65.8, ,0.0,G,999.9,0
16741099999,2009-09-20,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",70.1,8,51.8,8,1016.1,8,7.2,8,6.2,8,15.0,8,22.0,999.9,75.4, ,66.6,*,0.0,G,999.9,0
16741099999,2009-09-21,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",67.6,8,49.1,8,1019.6,8,10.8,8,6.2,8,13.7,8,18.1,999.9,72.9, ,61.7, ,0.0,G,999.9,0
16741099999,2009-09-22,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",68.2,8,48.2,8,1022.3,8,13.4,8,6.2,8,14.1,8,19.0,999.9,73.6, ,60.8, ,0.0,G,999.9,0
16741099999,2009-09-23,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",70.1,8,47.3,8,1023.8,8,14.9,8,6.2,8,12.9,8,19.0,999.9,77.4, ,64.9, ,0.0,G,999.9,0
16741099999,2009-09-24,37.9166666,23.9333333,73.45,"EL VENIZELOS, GR",70.1,8,52.9,8,1020.1,8,11.2,8,6.2,8,10.9,8,15.9,999.9,77.5, ,63.1, ,0.0,G,999.9,0
