STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12295099999,2005-01-01,53.1,23.1666666,151.0,"BIALYSTOK, PL",37.1,21,36.0,21,1017.0,21,998.2,21,2.4,21,3.8,21,7.8,999.9,39.0, ,33.4,*,0.45,G,999.9,11000
12295099999,2005-01-02,53.1,23.1666666,151.0,"BIALYSTOK, PL",34.5,24,30.8,24,1008.6,24,989.8,24,9.3,24,7.0,24,11.7,23.3,40.1, ,30.4, ,0.08,G,999.9,10000
12295099999,2005-01-03,53.1,23.1666666,151.0,"BIALYSTOK, PL",34.8,24,29.2,24,1009.1,24,990.3,24,10.5,24,10.0,24,11.7,21.4,37.0, ,32.9, ,0.11,G,0.4,11100
12295099999,2005-01-04,53.1,23.1666666,151.0,"BIALYSTOK, PL",32.6,18,30.7,18,1009.1,18,990.2,18,4.9,18,4.7,18,11.7,999.9,35.6, ,31.5, ,0.17,G,1.6,11000
12295099999,2005-01-05,53.1,23.1666666,151.0,"BIALYSTOK, PL",40.0,18,33.8,18,1011.9,18,993.2,18,9.2,18,10.0,18,13.6,23.3,42.4, ,32.0, ,0.24,G,999.9,10000
12295099999,2005-01-06,53.1,23.1666666,151.0,"BIALYSTOK, PL",37.2,13,33.3,13,1016.3,13,997.4,13,6.9,13,7.3,13,11.7,999.9,39.0, ,35.6, ,0.0,G,999.9,10000
12295099999,2005-01-07,53.1,23.1666666,151.0,"BIALYSTOK, PL",39.6,21,36.1,21,1017.8,21,999.0,21,5.8,21,9.2,21,11.7,19.4,45.7,*,35.6, ,0.07,G,999.9,10000
12295099999,2005-01-08,53.1,23.1666666,151.0,"BIALYSTOK, PL",47.2,24,38.6,24,1010.9,24,992.5,24,14.9,24,9.6,24,13.6,25.3,49.5,*,41.7, ,0.06,G,999.9,0
12295099999,2005-01-09,53.1,23.1666666,151.0,"BIALYSTOK, PL",41.6,23,29.9,23,1012.4,23,993.8,23,15.1,23,13.9,23,17.5,33.0,49.8, ,38.3,*,0.0,G,999.9,10000
12295099999,2005-01-10,53.1,23.1666666,151.0,"BIALYSTOK, PL",42.8,24,36.7,24,1019.1,24,0.4,24,11.2,24,8.5,24,11.7,23.3,45.9,*,39.9, ,0.01,G,999.9,10000
