STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
6451099999,1979-01-01,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",12.5,24,9.1,24,9999.9,0,999.9,0,5.6,24,4.2,24,9.9,999.9,19.4, ,6.8, ,0.0,F,3.1,0
6451099999,1979-01-02,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",19.5,24,17.4,24,9999.9,0,999.9,0,4.2,24,11.8,24,27.0,37.9,33.8, ,6.8, ,0.02,F,3.5,1000
6451099999,1979-01-03,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",17.5,24,12.6,24,1026.4,6,999.9,0,5.4,24,6.2,24,11.1,999.9,28.4, ,6.8, ,0.0,F,3.5,0
6451099999,1979-01-04,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",19.1,24,11.7,24,1013.0,5,999.9,0,6.8,24,12.4,24,17.9,999.9,32.0,*,12.2, ,0.0,F,3.5,0
6451099999,1979-01-05,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",13.8,24,10.2,24,9999.9,0,999.9,0,3.6,24,10.4,24,16.9,999.9,17.6, ,6.8,*,0.0,F,3.5,0
6451099999,1979-01-06,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",12.6,24,7.6,24,1031.3,7,999.9,0,2.9,24,4.1,24,12.0,999.9,21.2, ,1.4, ,0.0,F,3.5,0
6451099999,1979-01-07,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",25.9,24,15.7,24,1031.0,14,999.9,0,5.9,24,12.0,24,15.9,999.9,33.8,*,17.6, ,0.0,F,3.5,10000
6451099999,1979-01-08,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",33.9,24,28.5,24,9999.9,0,999.9,0,5.8,24,13.1,24,17.9,999.9,35.6, ,30.2, ,0.12,F,2.8,10000
6451099999,1979-01-09,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",33.6,24,31.6,24,9999.9,0,999.9,0,2.6,24,9.5,24,14.0,999.9,35.6, ,32.0, ,0.43,F,1.6,10000
6451099999,1979-01-10,50.901389,4.484444,56.08,"BRUSSELS NATIONAL, BE",34.5,24,31.8,24,9999.9,0,999.9,0,6.0,24,16.0,24,26.8,39.8,35.6, ,32.0, ,0.28,F,0.4,11000
