STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12843099999,2010-01-01,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",40.0,23,38.5,23,991.9,23,975.0,23,5.4,23,3.8,23,5.8,999.9,45.7, ,37.4, ,0.2,G,999.9,10000
12843099999,2010-01-02,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",34.7,24,30.0,24,1003.1,24,985.9,24,4.5,23,9.9,24,17.5,999.9,39.2, ,28.6,*,0.01,G,999.9,101000
12843099999,2010-01-03,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",28.4,24,19.1,24,1015.8,24,998.1,24,18.3,23,11.1,24,13.6,999.9,30.9, ,24.8,*,0.02,G,1.2,1000
12843099999,2010-01-04,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",21.0,24,13.9,24,1021.3,24,3.2,24,9.3,24,4.4,24,7.8,999.9,28.4, ,14.9,*,0.0,G,1.2,0
12843099999,2010-01-05,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",24.5,24,19.3,24,1013.6,24,995.8,24,3.0,24,6.8,24,7.8,999.9,26.6,*,20.1, ,99.99, ,1.2,1000
12843099999,2010-01-06,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",29.9,24,27.5,24,1002.7,24,985.3,24,1.9,24,4.6,24,9.7,999.9,32.9, ,26.1, ,0.11,G,3.5,1000
12843099999,2010-01-07,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",30.3,23,27.5,23,1012.7,23,995.2,23,2.2,23,2.3,23,3.9,999.9,32.5, ,27.1,*,0.13,G,3.5,101000
12843099999,2010-01-08,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",33.4,24,31.9,24,1013.1,24,995.7,24,2.3,24,6.3,24,9.7,999.9,39.9,*,26.2, ,0.02,G,1.6,110000
12843099999,2010-01-09,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",43.3,24,41.0,24,1004.5,24,987.5,24,4.7,24,6.1,24,9.7,999.9,46.0, ,37.4, ,0.47,G,999.9,10000
12843099999,2010-01-10,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",37.7,24,36.3,24,1007.6,24,990.4,24,2.0,23,3.3,24,5.8,999.9,44.1,*,34.7,*,0.24,G,999.9,110000
12843099999,2010-01-11,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",34.2,24,25.8,24,1014.9,24,997.4,24,6.3,24,5.3,24,7.8,999.9,39.6, ,28.8,*,0.01,G,999.9,0
12843099999,2010-01-12,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",31.6,24,24.6,24,1017.3,24,999.7,24,4.1,23,2.8,24,5.8,999.9,36.9, ,27.3,*,0.0,G,999.9,0
12843099999,2010-01-13,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",31.1,24,26.3,24,1016.0,24,998.4,24,2.3,24,1.6,24,3.9,999.9,32.7, ,29.3, ,99.99, ,999.9,11000
12843099999,2010-01-14,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",32.4,24,26.2,24,1017.4,24,999.9,24,3.7,24,1.9,24,3.9,999.9,34.3, ,31.3, ,0.0,I,999.9,0
12843099999,2010-01-15,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",29.4,24,25.6,24,1025.5,24,7.7,24,2.7,23,2.2,24,3.9,999.9,33.6, ,22.6,*,0.0,I,999.9,100000
12843099999,2010-01-16,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",26.5,24,24.0,24,1031.5,24,13.5,24,1.9,24,3.1,24,5.8,999.9,33.3, ,21.0, ,0.0,I,999.9,100000
12843099999,2010-01-17,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",28.8,24,26.4,24,1026.7,24,8.9,24,2.5,24,5.6,24,7.8,999.9,30.6, ,25.3, ,99.99, ,999.9,1000
12843099999,2010-01-18,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",29.4,24,27.2,24,1025.8,24,8.0,24,1.7,24,2.8,24,5.8,999.9,32.7, ,27.9, ,0.06,G,1.6,1000
12843099999,2010-01-19,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",30.2,23,28.0,23,1023.3,23,5.6,23,2.1,23,1.2,23,3.9,999.9,35.8, ,26.4, ,0.07,G,0.8,1000
12843099999,2010-01-20,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",30.3,24,28.8,24,1017.8,24,0.2,24,0.9,23,2.3,24,5.8,999.9,32.5, ,27.3,*,0.0,G,0.4,111000
12843099999,2010-01-21,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",26.7,24,22.9,24,1022.0,24,4.2,24,3.9,24,5.1,24,7.8,999.9,28.0, ,24.3, ,0.07,G,2.8,1000
12843099999,2010-01-22,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",25.9,24,20.1,24,1027.5,24,9.5,24,3.4,24,2.1,24,3.9,999.9,27.9,*,24.1,*,0.0,G,2.4,1000
12843099999,2010-01-23,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",25.1,24,17.2,24,1030.5,24,12.4,24,5.4,24,3.4,24,5.8,999.9,30.4, ,18.9,*,99.99, ,1.2,1000
12843099999,2010-01-24,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",21.3,24,15.0,24,1033.3,24,15.0,24,3.7,24,2.3,24,3.9,999.9,28.0, ,15.4,*,0.0,I,1.2,0
12843099999,2010-01-25,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",18.6,24,11.2,24,1037.1,24,18.7,24,4.7,22,3.5,24,5.8,999.9,26.4, ,12.2, ,0.0,I,1.2,0
12843099999,2010-01-26,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",21.7,23,10.3,23,1035.8,23,17.5,23,7.6,23,2.6,23,5.8,999.9,27.0, ,16.5, ,0.0,I,1.2,0
12843099999,2010-01-27,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",16.8,24,7.7,24,1028.5,24,10.1,24,2.7,24,3.0,24,5.8,999.9,25.2, ,10.2,*,0.0,I,1.2,0
12843099999,2010-01-28,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",16.1,24,11.1,24,1008.0,24,990.0,24,1.9,24,4.0,24,7.8,999.9,20.5, ,7.2, ,0.02,E,1.6,1000
12843099999,2010-01-29,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",24.3,24,17.3,24,999.6,24,982.1,24,3.6,24,3.9,24,5.8,999.9,32.0, ,17.6, ,99.99, ,1.6,1000
12843099999,2010-01-30,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",29.0,24,26.4,24,994.8,24,977.5,24,2.0,22,3.2,24,5.8,999.9,31.8, ,23.5, ,0.2,G,9.4,1000
12843099999,2010-01-31,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",28.5,24,24.6,24,1000.5,24,983.1,24,4.5,24,5.9,24,7.8,999.9,30.6, ,25.3,*,0.41,G,10.2,1000
12843099999,2010-02-01,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",25.4,24,15.8,24,1011.1,24,993.4,24,11.8,24,6.9,24,11.7,999.9,31.8, ,18.9,*,0.07,G,10.2,0
12843099999,2010-02-02,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",22.2,24,16.8,24,1018.8,24,0.9,24,4.7,24,3.2,24,9.7,999.9,34.2, ,10.0, ,0.0,G,9.1,1000
12843099999,2010-02-03,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",22.3,24,17.8,24,1016.5,24,998.6,24,3.3,24,4.1,24,5.8,999.9,30.0, ,13.6, ,0.02,E,9.4,1000
12843099999,2010-02-04,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",25.0,24,18.6,24,1025.5,24,7.6,24,3.4,22,4.0,24,5.8,999.9,36.3, ,15.4, ,0.0,I,8.7,0
12843099999,2010-02-05,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",25.9,24,19.5,24,1023.3,24,5.4,24,4.9,24,6.1,24,7.8,999.9,30.0,*,21.4, ,99.99, ,7.9,1000
12843099999,2010-02-06,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",31.5,24,22.3,24,1013.9,24,996.3,24,6.9,24,5.8,24,9.7,999.9,36.0, ,27.9, ,0.02,E,7.1,1000
12843099999,2010-02-07,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",29.4,24,25.6,24,1015.2,24,997.5,24,2.3,24,3.2,24,5.8,999.9,32.2, ,25.7,*,0.25,G,9.8,1000
12843099999,2010-02-08,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",24.2,23,14.7,23,1013.0,23,995.2,23,3.9,23,3.5,23,9.7,999.9,33.1, ,17.6,*,0.03,G,9.4,0
12843099999,2010-02-09,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",23.7,24,15.9,24,1011.5,24,993.7,24,3.2,24,3.3,24,5.8,999.9,30.9, ,17.4, ,0.0,G,9.8,0
12843099999,2010-02-10,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",29.5,24,22.4,24,1006.1,24,988.6,24,5.1,23,6.9,24,9.7,999.9,34.7,*,22.5, ,99.99, ,8.3,1000
12843099999,2010-02-11,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",33.9,24,32.6,24,1000.4,24,983.2,24,2.4,24,3.6,24,5.8,999.9,36.1, ,32.2, ,0.13,G,7.9,11000
12843099999,2010-02-12,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",32.8,23,31.3,23,1006.6,23,989.3,23,1.7,23,3.9,23,7.8,999.9,34.3,*,30.9,*,0.09,G,5.5,11000
12843099999,2010-02-13,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",32.4,24,25.6,24,1005.4,24,988.0,24,4.2,24,9.5,24,13.6,999.9,36.3, ,30.4,*,0.09,G,4.7,0
12843099999,2010-02-14,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",32.7,24,24.0,24,1010.9,24,993.4,24,6.9,24,4.7,24,11.7,999.9,39.4, ,28.4, ,0.0,G,4.7,0
12843099999,2010-02-15,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",31.8,24,25.2,24,1009.9,24,992.4,24,4.0,24,2.8,24,5.8,999.9,38.3, ,25.7,*,0.0,I,4.3,0
12843099999,2010-02-16,47.4333333,19.1833333,139.0,"BUDAPEST PESTSZENTLORINC, HU",28.9,24,24.4,24,1011.4,24,993.8,24,2.6,24,3.6,24,5.8,999.9,37.2, ,21.7, ,99.99, ,3.9,1000
