STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12240099999,1973-01-01,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",33.4,4,19.0,4,1032.0,4,999.9,0,5.6,4,4.4,4,5.8,999.9,41.0,*,28.4,*,0.0,I,999.9,0
12240099999,1973-01-02,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",24.4,5,13.6,5,1030.1,5,999.9,0,5.7,5,1.6,5,3.9,999.9,33.8,*,17.6,*,0.0,I,999.9,0
12240099999,1973-01-03,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",20.3,4,15.3,4,1028.4,4,999.9,0,4.0,4,4.9,4,7.8,999.9,30.2,*,12.2,*,0.0,I,999.9,0
12240099999,1973-01-04,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",31.8,8,30.6,8,1031.1,8,999.9,0,0.7,8,3.9,8,7.8,999.9,35.6, ,24.8, ,0.02,F,999.9,110000
12240099999,1973-01-05,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",32.0,5,32.0,5,1034.7,5,999.9,0,1.1,5,8.5,5,11.7,999.9,35.6, ,30.2, ,0.01,F,999.9,10000
12240099999,1973-01-06,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",33.8,8,33.4,8,1036.0,8,999.9,0,0.6,8,9.2,8,13.6,999.9,9999.9, ,9999.9, ,0.0,F,999.9,110000
12240099999,1973-01-07,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",33.1,8,32.7,8,1036.1,8,999.9,0,1.1,7,4.9,8,9.7,999.9,35.6, ,32.0,*,0.02,F,999.9,10000
12240099999,1973-01-08,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",32.0,7,31.0,7,1032.4,7,999.9,0,1.7,7,9.7,7,11.7,999.9,33.8, ,30.2, ,0.0,F,999.9,10000
12240099999,1973-01-09,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",33.8,7,32.0,7,1030.1,7,999.9,0,3.9,7,3.9,7,7.8,999.9,35.6, ,32.0,*,0.01,F,999.9,10000
12240099999,1973-01-10,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",31.0,7,28.7,7,1027.1,7,999.9,0,5.1,7,13.9,7,17.5,999.9,32.0, ,30.2, ,0.0,F,999.9,0
12240099999,1973-01-11,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",34.6,7,31.0,7,1026.3,7,999.9,0,5.5,7,8.9,7,13.6,999.9,39.2, ,32.0, ,0.0,F,999.9,0
12240099999,1973-01-12,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",31.3,5,29.1,5,1034.1,5,999.9,0,2.0,5,1.9,5,5.8,999.9,39.2, ,28.4,*,0.0,E,999.9,100000
12240099999,1973-01-13,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",26.2,4,25.2,4,1035.1,4,999.9,0,1.4,4,2.9,4,5.8,999.9,26.6,*,24.8, ,0.0,E,999.9,100000
12240099999,1973-01-14,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",23.2,8,21.9,8,1029.5,8,999.9,0,1.2,8,5.8,8,7.8,999.9,26.6, ,21.2, ,0.0,F,999.9,100000
12240099999,1973-01-15,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",25.8,7,21.5,6,1020.9,7,999.9,0,4.3,7,10.3,7,13.6,999.9,30.2,*,23.0, ,0.0,E,999.9,0
12240099999,1973-01-16,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",27.0,5,18.0,5,1015.2,5,999.9,0,8.1,5,11.3,5,13.6,999.9,30.2, ,23.0,*,0.0,E,999.9,0
12240099999,1973-01-17,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",23.9,8,17.4,8,1016.6,8,999.9,0,4.9,8,6.8,8,11.7,999.9,26.6, ,19.4,*,0.01,F,0.4,1000
12240099999,1973-01-18,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",20.4,7,16.6,7,1019.3,7,999.9,0,1.4,7,3.1,7,3.9,999.9,24.8, ,14.0, ,0.0,F,999.9,0
12240099999,1973-01-20,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",29.8,4,27.0,4,1014.8,4,999.9,0,0.9,4,5.8,4,7.8,999.9,33.8,*,26.6,*,0.0,A,999.9,1000
12240099999,1973-01-21,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",34.4,6,32.9,6,1017.4,6,999.9,0,1.1,6,5.5,6,7.8,999.9,35.6, ,33.8,*,0.0,E,999.9,100000
12240099999,1973-01-22,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",32.5,7,30.7,7,1022.8,7,999.9,0,2.5,7,6.4,7,9.7,999.9,33.8, ,30.2,*,0.0,E,999.9,1000
12240099999,1973-01-23,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",31.4,6,29.9,6,1030.9,6,999.9,0,1.6,6,3.2,6,5.8,999.9,33.8, ,28.4, ,0.0,F,0.4,0
12240099999,1973-01-24,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",33.5,7,32.5,7,1037.2,7,999.9,0,1.1,7,2.2,7,3.9,999.9,35.6, ,32.0, ,0.0,F,999.9,111000
12240099999,1973-01-25,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",26.6,7,24.8,7,1039.0,7,999.9,0,0.6,7,6.4,7,11.7,999.9,28.4, ,24.8, ,0.0,F,999.9,100000
12240099999,1973-01-26,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",29.3,4,24.3,4,1018.3,4,999.9,0,3.4,4,10.2,4,11.7,999.9,33.8, ,26.6,*,0.0,E,999.9,0
12240099999,1973-01-27,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",29.3,4,26.6,4,1004.6,4,999.9,0,2.9,4,7.3,4,7.8,999.9,32.0, ,26.6,*,0.08,E,999.9,1000
12240099999,1973-01-28,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",32.9,8,32.9,8,1003.7,8,999.9,0,0.4,8,3.4,8,9.7,999.9,33.8, ,32.0, ,0.09,F,1.6,111000
12240099999,1973-01-29,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",33.5,7,32.8,7,1009.1,7,999.9,0,2.1,7,8.9,7,11.7,999.9,35.6,*,32.0, ,0.28,F,1.6,11000
12240099999,1973-01-30,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",34.7,4,33.8,4,1009.4,4,999.9,0,3.0,4,6.3,4,9.7,999.9,37.4,*,32.0, ,0.16,E,1.6,10000
12240099999,1973-01-31,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",32.7,5,31.3,5,1015.9,5,999.9,0,1.9,5,3.5,5,5.8,999.9,33.8,*,32.0,*,0.0,I,999.9,100000
12240099999,1973-02-01,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",32.3,7,30.7,7,1017.6,7,999.9,0,0.9,7,4.7,7,7.8,999.9,33.8, ,32.0,*,0.04,F,999.9,101000
12240099999,1973-02-02,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",31.5,7,30.2,7,1025.5,7,999.9,0,2.2,7,3.9,7,9.7,999.9,33.8, ,30.2, ,0.0,F,0.4,100000
12240099999,1973-02-03,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",35.2,4,33.3,4,1027.5,4,999.9,0,3.8,4,16.0,4,19.4,999.9,37.4,*,32.0, ,0.0,H,999.9,10000
12240099999,1973-02-04,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",38.7,7,37.4,7,1026.9,7,999.9,0,2.7,7,9.7,7,13.6,999.9,41.0, ,35.6,*,0.02,F,999.9,110000
12240099999,1973-02-05,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",38.4,7,34.8,7,1024.3,7,999.9,0,3.5,7,11.9,7,13.6,999.9,41.0,*,37.4, ,0.0,E,3.1,10000
12240099999,1973-02-06,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",36.4,7,32.5,7,1013.1,7,999.9,0,4.8,7,17.5,7,23.3,999.9,39.2, ,32.0, ,0.0,F,999.9,10000
12240099999,1973-02-07,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",42.3,4,9999.9,0,1002.2,4,999.9,0,6.8,4,18.5,4,19.4,999.9,44.6,*,41.0,*,0.04,A,999.9,10000
12240099999,1973-02-08,53.0833333,17.9833333,71.0,"BYDGOSZCZ, PL",41.6,6,36.5,6,1005.0,6,999.9,0,6.3,6,12.6,6,15.5,999.9,46.4, ,37.4, ,0.01,F,999.9,10000
