STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12565099999,1954-01-03,50.083,19.8,236.5,"KRAKOW, PL",21.5,4,16.0,4,1012.7,4,999.9,0,1.7,4,5.0,4,6.0,999.9,30.0, ,12.0, ,0.12,F,999.9,1000
12565099999,1954-01-06,50.083,19.8,236.5,"KRAKOW, PL",2.7,4,-1.8,4,1021.2,4,999.9,0,1.6,4,6.0,4,9.9,999.9,7.0, ,0.0, ,0.0,I,999.9,0
12565099999,1954-01-07,50.083,19.8,236.5,"KRAKOW, PL",11.3,4,6.0,4,1013.7,4,999.9,0,1.6,4,3.5,4,6.0,999.9,16.0, ,5.0, ,0.0,I,999.9,0
12565099999,1954-01-09,50.083,19.8,236.5,"KRAKOW, PL",21.5,4,9999.9,0,1019.3,4,999.9,0,0.8,4,5.4,4,9.9,999.9,27.0, ,18.0, ,0.02,E,999.9,1000
12565099999,1954-01-10,50.083,19.8,236.5,"KRAKOW, PL",22.7,4,19.8,4,1003.4,4,999.9,0,1.4,4,6.5,4,9.9,999.9,27.0, ,18.0,*,0.04,F,999.9,1000
12565099999,1954-01-12,50.083,19.8,236.5,"KRAKOW, PL",22.0,4,18.8,4,1009.0,4,999.9,0,1.6,4,9.5,4,15.9,999.9,25.0, ,21.0, ,0.02,E,999.9,1000
12565099999,1954-01-13,50.083,19.8,236.5,"KRAKOW, PL",13.5,4,10.8,4,1019.0,4,999.9,0,0.2,4,0.0,4,999.9,999.9,21.0, ,5.0, ,0.0,I,999.9,100000
12565099999,1954-01-14,50.083,19.8,236.5,"KRAKOW, PL",25.7,4,23.0,4,1008.8,4,999.9,0,1.4,4,5.5,4,14.0,999.9,34.0, ,18.0, ,0.01,E,999.9,1000
12565099999,1954-01-16,50.083,19.8,236.5,"KRAKOW, PL",39.0,4,9999.9,0,1005.8,4,999.9,0,2.8,4,15.2,4,22.9,999.9,43.0, ,23.0, ,0.18,F,999.9,10000
12565099999,1954-01-18,50.083,19.8,236.5,"KRAKOW, PL",32.0,4,28.3,4,1019.4,4,999.9,0,5.0,4,13.3,4,19.0,999.9,34.0,*,28.0, ,0.04,E,999.9,11000
12565099999,1954-01-19,50.083,19.8,236.5,"KRAKOW, PL",31.5,4,29.3,4,1026.4,4,999.9,0,1.9,4,7.5,4,12.0,999.9,32.0, ,30.0, ,0.02,E,999.9,1000
12565099999,1954-01-22,50.083,19.8,236.5,"KRAKOW, PL",25.7,4,22.0,4,1021.2,4,999.9,0,1.2,4,8.0,4,14.0,999.9,32.0, ,18.0,*,0.06,F,999.9,1000
12565099999,1954-01-24,50.083,19.8,236.5,"KRAKOW, PL",10.0,4,5.5,4,1033.3,4,999.9,0,1.2,4,6.5,4,9.9,999.9,18.0, ,7.0, ,0.06,F,999.9,1000
12565099999,1954-01-26,50.083,19.8,236.5,"KRAKOW, PL",-2.0,4,-6.7,4,1026.2,4,999.9,0,2.2,4,5.1,4,12.0,999.9,1.0, ,-4.0, ,0.04,F,999.9,1000
12565099999,1954-01-27,50.083,19.8,236.5,"KRAKOW, PL",-3.7,4,-8.0,4,1028.2,4,999.9,0,1.4,4,1.0,4,4.1,999.9,5.0, ,-9.0, ,0.02,E,999.9,0
12565099999,1954-01-28,50.083,19.8,236.5,"KRAKOW, PL",2.3,4,-3.7,4,1022.7,4,999.9,0,0.9,4,0.5,4,1.9,999.9,18.0, ,-8.0, ,0.0,I,999.9,0
12565099999,1954-01-29,50.083,19.8,236.5,"KRAKOW, PL",12.7,4,7.7,4,1013.0,4,999.9,0,2.1,4,7.2,4,16.9,999.9,19.0, ,5.0, ,0.16,F,999.9,1000
