STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
8579099999,2014-01-01,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",57.8,24,55.9,24,1018.6,24,6.1,24,999.9,0,10.3,24,15.5,999.9,59.4,*,53.2, ,0.11,F,999.9,0
8579099999,2014-01-02,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",59.6,24,57.8,24,1016.1,24,3.7,24,999.9,0,12.5,24,15.5,999.9,61.0, ,58.5, ,0.31,F,999.9,10000
8579099999,2014-01-03,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",58.0,24,55.6,24,1019.7,24,7.3,24,999.9,0,7.2,24,11.7,999.9,60.4,*,54.9,*,0.17,F,999.9,10000
8579099999,2014-01-04,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",54.7,24,49.3,24,1020.4,24,7.9,24,999.9,0,12.1,24,23.3,999.9,59.5, ,49.3,*,0.67,E,999.9,0
8579099999,2014-01-05,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",57.4,24,53.4,24,1023.2,24,10.7,24,999.9,0,8.0,24,11.7,999.9,62.2, ,48.7, ,0.0,I,999.9,0
8579099999,2014-01-06,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",59.1,24,56.8,24,1017.8,24,5.4,24,999.9,0,11.5,24,13.6,999.9,61.9, ,57.6, ,0.12,E,999.9,10000
8579099999,2014-01-07,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",58.2,24,57.4,24,1016.9,24,4.5,24,999.9,0,9.6,24,13.6,999.9,59.2, ,57.4,*,1.5,F,999.9,10000
8579099999,2014-01-08,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",56.4,23,52.5,23,1016.9,23,4.5,23,999.9,0,4.7,23,5.8,999.9,61.7, ,53.2, ,0.04,E,999.9,0
8579099999,2014-01-09,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",55.8,24,47.0,24,1016.8,24,4.3,24,999.9,0,4.9,24,7.8,999.9,61.9, ,50.7, ,0.0,I,999.9,0
8579099999,2014-01-10,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",54.9,24,46.9,24,1014.7,24,2.2,24,999.9,0,4.7,24,7.8,999.9,61.5, ,50.7, ,0.0,I,999.9,0
