STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
3781099999,2001-01-01,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",47.2,22,44.1,22,988.9,22,999.9,0,9.6,22,14.9,22,18.1,999.9,50.0, ,38.7,*,0.12,E,999.9,0
3781099999,2001-01-02,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",47.5,24,43.2,24,984.6,24,999.9,0,12.2,24,15.5,24,22.9,35.0,48.9, ,45.5,*,0.28,F,999.9,0
3781099999,2001-01-03,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",42.7,24,38.1,24,997.5,24,999.9,0,11.9,24,12.1,24,18.1,999.9,48.9,*,36.0,*,0.04,E,999.9,0
3781099999,2001-01-04,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",46.5,23,43.4,23,990.0,22,999.9,0,12.8,23,10.7,23,15.0,999.9,48.9, ,43.5,*,0.48,F,999.9,0
3781099999,2001-01-05,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",43.3,24,41.4,24,985.1,24,999.9,0,4.4,24,5.5,24,11.1,999.9,45.1,*,41.7,*,0.24,F,999.9,0
3781099999,2001-01-06,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",41.0,24,37.7,24,998.6,24,999.9,0,7.5,24,7.2,24,11.1,999.9,45.0, ,37.0,*,0.0,I,999.9,0
3781099999,2001-01-07,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",38.9,24,34.8,24,1008.1,24,999.9,0,10.7,23,7.5,24,11.1,999.9,43.3, ,35.1,*,0.02,E,999.9,0
3781099999,2001-01-08,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",38.9,24,35.1,24,1013.7,24,999.9,0,11.8,24,7.1,24,9.9,999.9,42.8, ,33.8, ,0.0,E,999.9,0
3781099999,2001-01-09,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",36.2,24,32.5,24,1013.4,24,999.9,0,7.9,24,1.0,24,5.1,999.9,41.9, ,31.5, ,0.01,F,999.9,0
3781099999,2001-01-10,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",39.3,23,34.4,23,1009.2,23,999.9,0,6.7,23,11.1,23,15.0,999.9,41.0, ,35.2, ,0.0,E,999.9,0
3781099999,2001-01-11,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",39.5,23,31.3,23,1018.5,23,999.9,0,11.7,23,14.3,23,18.1,34.0,40.3, ,38.1,*,0.02,E,999.9,0
3781099999,2001-01-12,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",39.3,24,29.6,24,1026.0,24,999.9,0,18.6,24,11.9,24,15.0,999.9,41.9, ,37.4, ,0.0,I,999.9,0
3781099999,2001-01-13,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",37.5,24,27.3,24,1032.0,24,999.9,0,14.9,24,6.7,24,9.9,999.9,42.3, ,32.9, ,0.0,I,999.9,0
3781099999,2001-01-14,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",37.7,23,31.0,23,1033.2,23,999.9,0,13.7,23,9.0,23,14.0,999.9,42.8, ,33.6, ,0.0,E,999.9,0
3781099999,2001-01-15,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",33.8,23,27.7,23,1024.8,23,999.9,0,5.7,23,7.1,23,11.1,999.9,37.2, ,28.4,*,0.0,I,999.9,0
3781099999,2001-01-16,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",30.7,23,28.2,23,1022.1,23,999.9,0,4.8,23,3.0,23,6.0,999.9,35.8, ,23.5,*,0.0,I,999.9,0
3781099999,2001-01-17,51.3,-0.0833333,170.0,"KENLEY AIRFIELD, UK",31.0,23,30.0,18,1019.8,23,999.9,0,1.3,23,1.0,23,5.1,999.9,37.6, ,23.7, ,0.0,I,999.9,0
