STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12495099999,1962-01-01,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",36.1,8,32.2,8,1010.0,8,999.9,0,4.3,8,5.2,8,9.9,999.9,39.0, ,32.0, ,0.0,I,999.9,0
12495099999,1962-01-02,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",31.0,8,27.5,8,1011.8,8,999.9,0,5.7,8,7.7,8,12.0,999.9,34.0,*,30.0, ,99.99, ,999.9,10000
12495099999,1962-01-03,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",26.4,8,22.5,8,1020.0,8,999.9,0,6.4,8,11.5,8,14.0,999.9,28.0, ,23.0, ,0.04,F,999.9,11000
12495099999,1962-01-04,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",29.5,8,26.6,8,1027.0,8,999.9,0,4.8,8,5.0,8,9.9,999.9,32.0, ,28.0, ,0.0,I,999.9,0
12495099999,1962-01-05,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",26.2,8,24.7,8,1022.6,8,999.9,0,3.1,8,7.7,8,9.9,999.9,27.0, ,23.0,*,0.04,F,999.9,1000
12495099999,1962-01-06,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",24.3,8,19.8,8,1014.0,8,999.9,0,3.9,8,13.3,8,16.9,999.9,28.0, ,19.0, ,99.99, ,999.9,1000
12495099999,1962-01-07,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",33.0,8,31.3,8,1017.4,8,999.9,0,4.7,8,11.0,8,15.9,999.9,34.0, ,27.0, ,0.04,F,999.9,11000
12495099999,1962-01-08,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",31.2,7,25.6,7,1028.5,7,999.9,0,7.1,7,5.2,7,6.0,999.9,34.0, ,30.0, ,0.0,I,999.9,0
12495099999,1962-01-09,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",28.0,8,22.0,8,1024.6,8,999.9,0,6.2,8,6.7,8,9.9,999.9,32.0, ,23.0,*,0.0,I,999.9,0
12495099999,1962-01-10,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",27.1,8,19.6,8,1015.7,8,999.9,0,6.2,8,9.5,8,14.0,999.9,34.0, ,23.0, ,0.0,I,999.9,0
12495099999,1962-01-11,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",35.0,8,27.7,8,1010.9,7,999.9,0,6.2,8,10.5,8,12.0,999.9,43.0, ,30.0, ,0.0,I,999.9,0
12495099999,1962-01-12,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",36.7,7,35.1,7,1006.9,7,999.9,0,4.1,7,6.9,7,9.9,999.9,37.0, ,36.0,*,0.02,E,999.9,10000
12495099999,1962-01-13,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",36.1,7,34.5,7,997.7,7,999.9,0,5.1,7,8.0,7,12.0,999.9,39.0, ,36.0,*,0.31,E,999.9,10000
12495099999,1962-01-14,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",34.5,7,32.6,7,1003.9,7,999.9,0,6.2,7,4.9,7,8.0,999.9,37.0, ,32.0,*,0.02,E,999.9,10000
12495099999,1962-01-15,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",35.0,8,32.2,8,1014.4,8,999.9,0,4.8,8,10.5,8,14.0,999.9,36.0, ,32.0, ,0.06,F,999.9,11000
12495099999,1962-01-16,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",34.1,7,29.6,7,1023.4,7,999.9,0,6.2,7,6.9,7,9.9,999.9,37.0, ,30.0, ,0.0,I,999.9,0
12495099999,1962-01-17,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",32.2,8,26.9,8,1021.0,8,999.9,0,6.2,8,10.5,8,14.0,999.9,37.0, ,30.0, ,0.0,I,999.9,0
12495099999,1962-01-18,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",32.2,8,29.8,8,1018.5,8,999.9,0,6.2,8,6.5,8,9.9,999.9,36.0, ,30.0, ,0.0,I,999.9,0
12495099999,1962-01-19,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",34.4,8,30.5,8,1018.7,8,999.9,0,4.8,8,7.0,8,9.9,999.9,37.0, ,30.0, ,0.0,I,999.9,0
12495099999,1962-01-20,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",37.9,8,32.2,8,1016.5,8,999.9,0,7.0,8,14.1,8,16.9,999.9,43.0, ,36.0, ,0.01,E,999.9,10000
12495099999,1962-01-21,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",36.4,6,34.2,6,1021.0,6,999.9,0,3.9,6,7.3,6,9.9,999.9,39.0, ,34.0, ,0.02,E,999.9,10000
12495099999,1962-01-22,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",39.3,8,36.0,8,1013.4,8,999.9,0,4.8,8,9.5,8,14.0,999.9,45.0, ,37.0, ,0.04,E,999.9,10000
12495099999,1962-01-23,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",37.1,8,31.3,8,1016.6,8,999.9,0,6.2,8,8.7,8,9.9,999.9,41.0, ,34.0, ,0.0,I,999.9,0
12495099999,1962-01-24,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",34.6,8,31.0,8,1018.4,8,999.9,0,5.7,8,6.3,8,9.9,999.9,39.0, ,32.0, ,0.04,F,999.9,1000
12495099999,1962-01-25,51.2166666,22.4,240.0,"LUBLIN RADAWIEC, PL",36.1,7,35.9,7,1010.5,7,999.9,0,2.5,7,7.7,7,14.0,999.9,39.0, ,32.0, ,0.42,F,999.9,11000
