STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12272099999,1999-01-01,53.7666666,20.4166666,137.0,"OLSZTYN, PL",27.5,8,24.8,8,1021.9,8,4.4,8,5.3,8,8.3,8,11.7,999.9,29.7, ,26.2, ,0.0,F,999.9,0
12272099999,1999-01-02,53.7666666,20.4166666,137.0,"OLSZTYN, PL",25.3,8,23.9,8,1015.4,8,998.0,8,1.6,8,2.2,8,3.9,999.9,28.6, ,20.8, ,0.0,F,999.9,100000
12272099999,1999-01-03,53.7666666,20.4166666,137.0,"OLSZTYN, PL",28.5,6,27.9,6,1011.1,6,993.8,6,0.9,6,1.9,6,3.9,999.9,31.6,*,23.4, ,0.0,H,999.9,110000
12272099999,1999-01-04,53.7666666,20.4166666,137.0,"OLSZTYN, PL",33.8,7,32.7,7,1011.4,7,994.3,7,1.3,7,4.2,7,11.7,999.9,38.3,*,25.9, ,0.03,F,999.9,110000
12272099999,1999-01-05,53.7666666,20.4166666,137.0,"OLSZTYN, PL",44.0,8,42.2,8,1010.8,8,994.1,8,5.0,8,8.0,8,11.7,999.9,47.3, ,36.3, ,0.15,F,999.9,10000
12272099999,1999-01-06,53.7666666,20.4166666,137.0,"OLSZTYN, PL",46.8,8,44.0,8,1008.2,8,991.7,8,4.7,8,8.5,8,11.7,999.9,49.3,*,43.5, ,0.15,F,999.9,10000
12272099999,1999-01-07,53.7666666,20.4166666,137.0,"OLSZTYN, PL",42.8,8,38.3,8,996.5,8,980.0,8,12.4,8,9.0,8,11.7,999.9,50.7, ,34.3,*,0.08,F,999.9,11000
12272099999,1999-01-08,53.7666666,20.4166666,137.0,"OLSZTYN, PL",32.6,7,31.5,7,1001.2,7,984.3,7,6.8,7,1.7,7,3.9,999.9,36.9, ,31.8,*,0.06,F,999.9,11100
12272099999,1999-01-09,53.7666666,20.4166666,137.0,"OLSZTYN, PL",28.8,7,28.1,7,1003.5,6,985.9,7,5.6,7,1.1,7,3.9,999.9,32.5, ,23.0,*,0.0,F,999.9,101000
12272099999,1999-01-11,53.7666666,20.4166666,137.0,"OLSZTYN, PL",21.7,7,19.0,7,1021.0,7,3.3,7,6.0,7,9.7,7,11.7,999.9,24.6, ,17.4, ,0.0,F,999.9,1000
12272099999,1999-01-12,53.7666666,20.4166666,137.0,"OLSZTYN, PL",29.2,7,27.5,7,1003.3,7,986.2,7,3.9,7,7.8,7,9.7,999.9,33.8, ,21.9, ,0.23,F,2.4,1000
12272099999,1999-01-13,53.7666666,20.4166666,137.0,"OLSZTYN, PL",26.5,8,24.3,8,1004.0,8,986.8,8,4.8,8,5.6,8,7.8,999.9,30.0, ,16.7,*,0.12,F,3.9,1000
12272099999,1999-01-14,53.7666666,20.4166666,137.0,"OLSZTYN, PL",26.6,8,24.0,8,1002.7,8,985.5,8,2.3,8,4.6,8,9.7,999.9,34.0,*,11.7, ,0.01,F,3.5,11000
12272099999,1999-01-15,53.7666666,20.4166666,137.0,"OLSZTYN, PL",34.6,6,33.1,6,1003.9,6,987.0,6,7.9,6,7.1,6,9.7,999.9,35.4, ,32.9, ,0.16,F,3.5,10000
12272099999,1999-01-16,53.7666666,20.4166666,137.0,"OLSZTYN, PL",37.5,7,35.2,7,1009.0,7,992.1,7,5.1,7,6.4,7,7.8,999.9,39.7,*,35.2,*,0.0,E,999.9,10000
12272099999,1999-01-17,53.7666666,20.4166666,137.0,"OLSZTYN, PL",39.2,7,35.8,7,1014.9,7,998.0,7,10.7,7,3.9,7,5.8,999.9,48.2, ,36.0,*,0.03,F,1.2,0
12272099999,1999-01-18,53.7666666,20.4166666,137.0,"OLSZTYN, PL",31.6,8,30.7,8,1022.9,8,5.6,8,3.2,8,0.7,8,1.9,999.9,38.8, ,26.6,*,0.0,F,999.9,100000
12272099999,1999-01-19,53.7666666,20.4166666,137.0,"OLSZTYN, PL",29.7,8,28.6,8,1026.3,8,8.9,8,0.9,8,2.2,8,5.8,999.9,38.5, ,23.0, ,0.0,F,999.9,100000
12272099999,1999-01-20,53.7666666,20.4166666,137.0,"OLSZTYN, PL",31.6,7,30.6,7,1024.9,7,7.5,7,1.4,7,6.1,7,7.8,999.9,33.8,*,30.7,*,0.0,E,999.9,0
12272099999,1999-01-21,53.7666666,20.4166666,137.0,"OLSZTYN, PL",31.2,6,29.9,6,1024.4,6,7.1,6,1.8,6,2.9,6,3.9,999.9,35.4,*,28.9, ,0.0,E,999.9,0
12272099999,1999-01-22,53.7666666,20.4166666,137.0,"OLSZTYN, PL",35.2,4,34.1,4,1022.6,4,5.4,4,4.2,4,2.9,4,3.9,999.9,35.8,*,34.3,*,0.0,I,999.9,100000
12272099999,1999-01-23,53.7666666,20.4166666,137.0,"OLSZTYN, PL",33.1,8,30.1,8,1023.5,8,6.2,8,8.5,8,4.9,8,7.8,999.9,35.4, ,30.9,*,0.0,F,999.9,0
12272099999,1999-01-24,53.7666666,20.4166666,137.0,"OLSZTYN, PL",33.6,8,32.5,8,1017.4,8,0.3,8,2.0,8,6.8,8,9.7,999.9,36.9,*,30.9, ,0.04,F,999.9,10000
12272099999,1999-01-25,53.7666666,20.4166666,137.0,"OLSZTYN, PL",40.2,8,37.8,8,1010.5,8,993.7,8,2.7,8,9.5,8,11.7,999.9,46.0,*,36.0, ,0.04,F,999.9,10000
12272099999,1999-01-26,53.7666666,20.4166666,137.0,"OLSZTYN, PL",40.3,8,35.2,8,1003.2,8,986.6,8,12.0,8,8.0,8,11.7,999.9,47.5, ,34.3,*,0.04,F,999.9,0
12272099999,1999-01-27,53.7666666,20.4166666,137.0,"OLSZTYN, PL",34.3,7,32.7,7,1001.2,7,984.3,7,6.2,7,4.7,7,5.8,999.9,36.1, ,31.6, ,0.01,E,999.9,11000
12272099999,1999-01-28,53.7666666,20.4166666,137.0,"OLSZTYN, PL",27.0,8,23.3,8,1003.6,8,986.4,8,10.0,8,6.3,8,11.7,999.9,34.9, ,19.8, ,0.04,F,0.4,1000
12272099999,1999-01-29,53.7666666,20.4166666,137.0,"OLSZTYN, PL",12.8,7,7.3,7,1018.8,7,0.9,7,12.4,7,3.9,7,7.8,999.9,21.2, ,7.3,*,0.03,F,0.4,0
12272099999,1999-01-30,53.7666666,20.4166666,137.0,"OLSZTYN, PL",8.2,6,3.6,6,1032.0,6,13.6,6,12.4,6,4.2,6,7.8,999.9,16.7,*,0.7,*,0.03,E,999.9,1000
12272099999,1999-01-31,53.7666666,20.4166666,137.0,"OLSZTYN, PL",13.4,8,10.9,8,1035.7,8,17.5,8,6.8,8,2.4,8,5.8,999.9,23.7,*,-0.9, ,0.03,F,0.8,1000
12272099999,1999-02-01,53.7666666,20.4166666,137.0,"OLSZTYN, PL",28.1,8,27.3,8,1025.6,8,8.1,8,1.4,8,7.0,8,9.7,999.9,32.5,*,21.0, ,0.07,F,1.6,111000
12272099999,1999-02-02,53.7666666,20.4166666,137.0,"OLSZTYN, PL",34.2,7,33.9,7,1024.4,7,7.2,7,1.0,7,7.5,7,9.7,999.9,35.8, ,32.4,*,0.03,E,999.9,110000
12272099999,1999-02-03,53.7666666,20.4166666,137.0,"OLSZTYN, PL",34.8,7,33.0,7,1016.2,7,999.1,7,5.5,7,9.4,7,13.6,999.9,37.8, ,32.0, ,0.06,F,999.9,10000
12272099999,1999-02-04,53.7666666,20.4166666,137.0,"OLSZTYN, PL",36.6,7,35.0,7,1004.8,7,987.9,7,5.7,7,9.4,7,19.4,999.9,42.4,*,31.6, ,0.0,H,999.9,110000
12272099999,1999-02-05,53.7666666,20.4166666,137.0,"OLSZTYN, PL",34.8,4,30.0,4,977.7,4,961.2,4,11.7,4,14.1,4,17.5,999.9,36.5,*,33.4,*,99.99, ,999.9,11100
12272099999,1999-02-06,53.7666666,20.4166666,137.0,"OLSZTYN, PL",25.9,8,23.7,8,984.4,8,967.5,8,3.9,8,11.7,8,13.6,999.9,34.7, ,22.3, ,0.22,F,4.7,1000
12272099999,1999-02-07,53.7666666,20.4166666,137.0,"OLSZTYN, PL",21.1,8,18.1,8,995.9,8,978.7,8,10.0,8,3.4,8,5.8,999.9,26.6, ,13.6,*,0.03,F,5.9,11000
12272099999,1999-02-08,53.7666666,20.4166666,137.0,"OLSZTYN, PL",19.3,6,17.0,6,995.8,6,978.5,6,8.3,6,2.6,6,3.9,999.9,25.0,*,7.2, ,0.0,F,5.1,1000
12272099999,1999-02-09,53.7666666,20.4166666,137.0,"OLSZTYN, PL",24.1,8,21.9,8,996.2,8,979.0,8,7.7,8,5.1,8,5.8,999.9,27.5, ,19.8, ,0.04,F,5.1,1000
12272099999,1999-02-10,53.7666666,20.4166666,137.0,"OLSZTYN, PL",21.5,6,18.2,6,1007.9,6,990.4,6,8.3,6,4.9,6,7.8,999.9,27.7, ,15.8,*,0.0,E,999.9,1000
12272099999,1999-02-11,53.7666666,20.4166666,137.0,"OLSZTYN, PL",12.0,8,9.8,8,1018.8,8,0.8,8,3.3,8,1.2,8,3.9,999.9,19.8, ,3.9, ,0.0,F,5.1,100000
12272099999,1999-02-12,53.7666666,20.4166666,137.0,"OLSZTYN, PL",12.1,8,9.1,8,1028.9,8,10.8,8,8.2,8,2.4,8,5.8,999.9,24.4, ,-2.4, ,0.0,F,5.1,0
12272099999,1999-02-13,53.7666666,20.4166666,137.0,"OLSZTYN, PL",25.2,8,17.6,8,1031.5,8,13.8,8,10.9,8,6.6,8,9.7,999.9,31.3, ,20.5,*,0.0,F,4.3,0
12272099999,1999-02-14,53.7666666,20.4166666,137.0,"OLSZTYN, PL",20.0,6,17.1,6,1027.8,6,10.0,6,5.9,6,1.6,6,5.8,999.9,26.6, ,14.2, ,0.0,E,999.9,0
12272099999,1999-02-15,53.7666666,20.4166666,137.0,"OLSZTYN, PL",19.9,7,18.0,7,1020.3,7,2.6,7,2.2,7,2.8,7,7.8,999.9,28.4,*,9.9, ,0.0,E,3.5,100000
12272099999,1999-02-16,53.7666666,20.4166666,137.0,"OLSZTYN, PL",30.4,8,27.9,8,997.4,8,980.5,8,3.0,8,7.8,8,9.7,999.9,32.7,*,27.7, ,0.16,F,3.1,1000
12272099999,1999-02-17,53.7666666,20.4166666,137.0,"OLSZTYN, PL",29.0,8,25.4,8,989.3,8,972.4,8,9.3,8,7.3,8,7.8,999.9,32.7, ,25.2,*,0.04,F,5.9,1000
12272099999,1999-02-18,53.7666666,20.4166666,137.0,"OLSZTYN, PL",26.7,8,22.9,8,1004.4,8,987.2,8,9.6,8,5.3,8,7.8,999.9,32.0, ,21.2, ,0.03,F,6.7,0
12272099999,1999-02-19,53.7666666,20.4166666,137.0,"OLSZTYN, PL",25.7,8,23.0,8,1012.3,8,994.9,8,5.9,8,5.1,8,7.8,999.9,31.6, ,15.1, ,0.0,F,6.3,0
12272099999,1999-02-20,53.7666666,20.4166666,137.0,"OLSZTYN, PL",32.7,8,30.7,8,1003.9,8,986.9,8,5.8,8,5.8,8,7.8,999.9,36.0, ,28.2, ,0.1,F,7.1,11000
12272099999,1999-02-21,53.7666666,20.4166666,137.0,"OLSZTYN, PL",35.1,8,32.8,8,1001.0,8,984.1,8,7.1,8,5.3,8,7.8,999.9,37.6, ,33.8, ,0.06,F,5.9,11000
12272099999,1999-02-22,53.7666666,20.4166666,137.0,"OLSZTYN, PL",33.9,8,32.4,8,987.3,8,970.6,8,6.0,8,6.3,8,9.7,999.9,35.4, ,32.7, ,0.11,F,4.3,11000
