STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12530099999,2020-01-01,50.6166666,17.9666666,163.0,"OPOLE, PL",34.3,24,30.1,24,1033.5,24,12.6,24,9.1,24,4.5,23,7.8,999.9,40.1, ,24.1,*,0.0,F,999.9,0
12530099999,2020-01-02,50.6166666,17.9666666,163.0,"OPOLE, PL",29.1,24,24.6,24,1029.8,24,8.8,24,3.2,24,3.5,24,5.8,999.9,39.7, ,22.5, ,0.0,F,999.9,0
12530099999,2020-01-03,50.6166666,17.9666666,163.0,"OPOLE, PL",32.6,24,27.0,24,1022.7,24,2.0,24,5.5,24,4.9,24,7.8,999.9,40.6, ,22.3, ,0.0,F,999.9,0
12530099999,2020-01-04,50.6166666,17.9666666,163.0,"OPOLE, PL",39.2,24,33.9,24,1018.9,24,998.5,24,10.1,24,8.6,24,13.6,999.9,44.8, ,33.4, ,0.01,G,999.9,10000
12530099999,2020-01-05,50.6166666,17.9666666,163.0,"OPOLE, PL",32.6,24,28.3,24,1031.4,24,10.5,24,11.2,24,6.4,24,11.7,999.9,38.1, ,26.1,*,0.16,G,0.4,10100
12530099999,2020-01-06,50.6166666,17.9666666,163.0,"OPOLE, PL",30.6,24,26.8,24,1031.1,24,10.1,24,5.2,24,3.6,24,5.8,999.9,34.2, ,23.2, ,0.0,G,999.9,11000
12530099999,2020-01-07,50.6166666,17.9666666,163.0,"OPOLE, PL",34.0,24,28.2,24,1027.1,24,6.4,24,7.4,24,3.8,24,5.8,999.9,40.5, ,27.5, ,0.0,G,999.9,10000
12530099999,2020-01-08,50.6166666,17.9666666,163.0,"OPOLE, PL",37.6,24,33.7,24,1027.8,24,7.2,24,5.0,24,4.3,24,7.8,999.9,43.2, ,32.5, ,0.01,G,999.9,10000
12530099999,2020-01-09,50.6166666,17.9666666,163.0,"OPOLE, PL",41.1,24,38.4,24,1021.9,24,1.6,24,3.5,24,5.7,24,7.8,999.9,45.0, ,38.5, ,0.13,G,999.9,10000
12530099999,2020-01-10,50.6166666,17.9666666,163.0,"OPOLE, PL",41.5,24,35.1,24,1018.8,24,998.5,24,6.6,24,5.9,24,7.8,999.9,47.5, ,38.8, ,0.07,G,999.9,0
