STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
7156099999,2009-01-01,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",33.3,24,30.4,24,1028.6,24,18.8,24,2.3,10,3.8,24,7.0,999.9,36.7, ,28.9,*,0.0,G,999.9,0
7156099999,2009-01-02,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",31.6,24,26.5,24,1027.1,24,17.3,24,5.0,12,6.2,24,8.9,999.9,36.1, ,26.4, ,0.0,G,999.9,11100
7156099999,2009-01-03,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",31.3,24,25.0,24,1026.7,24,16.8,24,5.4,12,7.0,24,11.1,999.9,35.4, ,27.5,*,0.0,G,999.9,0
7156099999,2009-01-04,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",28.0,16,21.4,16,1025.5,16,15.6,16,4.6,9,2.8,16,5.1,999.9,33.3,*,24.3,*,0.0,G,999.9,0
7156099999,2009-01-05,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",31.0,17,27.8,17,1018.4,17,8.6,17,3.4,8,4.0,17,8.0,999.9,32.7, ,29.7,*,0.0,G,0.8,1000
7156099999,2009-01-06,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",23.5,24,17.7,24,1022.8,24,12.9,24,5.4,9,7.5,24,9.9,999.9,31.1, ,18.1,*,0.1,G,1.6,1000
7156099999,2009-01-07,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",25.3,24,15.3,24,1024.7,24,14.7,24,6.8,8,6.0,24,8.9,999.9,33.4,*,16.0, ,0.0,G,1.2,0
7156099999,2009-01-08,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",30.4,18,21.5,18,1027.6,18,17.7,18,7.0,9,7.0,18,9.9,999.9,35.2, ,25.5,*,0.0,G,0.8,0
7156099999,2009-01-09,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",24.9,23,17.2,23,1028.4,23,18.4,23,5.5,10,2.7,23,6.0,999.9,31.5, ,20.5, ,0.0,F,0.8,0
7156099999,2009-01-10,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",26.7,24,20.0,24,1029.1,24,19.1,24,3.9,12,1.4,24,4.1,999.9,35.6, ,20.7, ,0.0,G,0.8,0
7156099999,2009-01-11,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",29.1,24,22.4,24,1031.1,24,21.2,24,3.2,12,3.7,24,7.0,999.9,38.5, ,20.7, ,0.0,G,0.8,0
7156099999,2009-01-12,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",35.3,24,29.2,24,1023.4,24,13.7,24,5.8,9,6.1,24,8.9,999.9,41.2,*,28.4, ,0.0,G,0.8,0
7156099999,2009-01-13,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",40.1,24,35.3,24,1015.4,24,5.9,24,5.4,9,5.2,24,8.0,999.9,42.8, ,37.6, ,0.08,G,999.9,10000
7156099999,2009-01-14,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",39.6,24,36.9,24,1017.2,24,7.7,24,4.2,10,3.9,24,6.0,999.9,41.0, ,37.4,*,0.02,G,999.9,10000
7156099999,2009-01-15,48.8166666,2.3333333,77.0,"PARIS MONTSOURIS, FR",37.8,23,32.2,23,1018.2,23,8.6,23,8.8,10,5.9,23,8.9,999.9,42.8, ,33.8, ,0.0,G,999.9,0
