STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12330099999,2018-01-01,52.421031,16.826325,93.87,"LAWICA, PL",45.8,24,38.3,24,9999.9,0,999.9,0,6.4,24,9.6,24,17.5,25.1,50.0,*,35.6,*,0.06,G,999.9,10000
12330099999,2018-01-02,52.421031,16.826325,93.87,"LAWICA, PL",37.4,24,34.7,24,9999.9,0,999.9,0,5.8,24,6.6,24,13.0,999.9,41.7, ,32.0,*,0.0,G,999.9,10000
12330099999,2018-01-03,52.421031,16.826325,93.87,"LAWICA, PL",37.1,24,35.0,24,9999.9,0,999.9,0,5.5,24,10.5,24,19.0,27.0,41.7,*,33.4, ,0.08,G,999.9,11000
12330099999,2018-01-04,52.421031,16.826325,93.87,"LAWICA, PL",42.8,24,37.5,24,9999.9,0,999.9,0,6.3,24,12.5,24,19.4,29.9,44.8, ,40.3, ,0.29,G,999.9,10000
12330099999,2018-01-05,52.421031,16.826325,93.87,"LAWICA, PL",44.0,24,37.5,24,9999.9,0,999.9,0,6.5,24,9.7,24,19.0,999.9,48.2,*,37.4,*,0.0,G,999.9,10000
12330099999,2018-01-06,52.421031,16.826325,93.87,"LAWICA, PL",39.1,24,37.0,24,9999.9,0,999.9,0,4.8,24,3.9,24,8.0,999.9,46.8, ,35.6,*,0.0,G,999.9,0
12330099999,2018-01-07,52.421031,16.826325,93.87,"LAWICA, PL",33.7,24,29.4,24,9999.9,0,999.9,0,6.1,24,6.2,24,12.0,999.9,38.3, ,23.0,*,0.0,F,999.9,0
12330099999,2018-01-08,52.421031,16.826325,93.87,"LAWICA, PL",25.3,24,20.0,24,9999.9,0,999.9,0,6.3,24,5.5,24,9.7,999.9,35.6,*,17.6,*,0.0,F,999.9,0
12330099999,2018-01-09,52.421031,16.826325,93.87,"LAWICA, PL",33.4,24,20.6,24,9999.9,0,999.9,0,6.2,24,14.7,24,19.0,999.9,39.6, ,24.6, ,0.0,F,999.9,0
12330099999,2018-01-10,52.421031,16.826325,93.87,"LAWICA, PL",36.5,24,31.9,24,9999.9,0,999.9,0,4.7,24,7.8,24,14.0,999.9,37.9, ,33.8,*,0.12,F,999.9,10000
12330099999,2018-01-11,52.421031,16.826325,93.87,"LAWICA, PL",33.4,24,31.9,24,9999.9,0,999.9,0,2.3,24,7.7,24,11.7,999.9,36.9, ,32.0,*,0.27,G,999.9,11000
12330099999,2018-01-12,52.421031,16.826325,93.87,"LAWICA, PL",31.6,24,29.1,24,9999.9,0,999.9,0,4.6,24,10.1,24,14.0,999.9,33.8,*,29.8,*,0.01,G,999.9,11000
12330099999,2018-01-13,52.421031,16.826325,93.87,"LAWICA, PL",30.6,24,23.0,24,9999.9,0,999.9,0,6.3,24,11.2,24,15.5,999.9,32.7, ,26.6,*,0.0,G,999.9,0
12330099999,2018-01-14,52.421031,16.826325,93.87,"LAWICA, PL",26.5,24,18.9,24,9999.9,0,999.9,0,6.5,24,11.5,24,14.0,999.9,31.8, ,22.8,*,0.0,F,999.9,0
12330099999,2018-01-15,52.421031,16.826325,93.87,"LAWICA, PL",25.0,24,18.8,24,9999.9,0,999.9,0,6.3,24,12.2,24,15.0,999.9,30.6, ,19.4,*,0.0,F,999.9,0
12330099999,2018-01-16,52.421031,16.826325,93.87,"LAWICA, PL",31.5,24,28.0,24,9999.9,0,999.9,0,4.8,24,11.4,24,19.0,29.9,35.6,*,27.9, ,0.03,G,0.4,11000
12330099999,2018-01-17,52.421031,16.826325,93.87,"LAWICA, PL",33.7,24,32.3,24,9999.9,0,999.9,0,5.9,24,8.5,24,13.0,999.9,35.8, ,32.0,*,0.24,G,1.2,11100
12330099999,2018-01-18,52.421031,16.826325,93.87,"LAWICA, PL",34.0,24,32.0,24,9999.9,0,999.9,0,5.6,24,12.1,24,25.1,29.9,36.3, ,32.0,*,0.06,G,1.2,11000
12330099999,2018-01-19,52.421031,16.826325,93.87,"LAWICA, PL",33.9,24,32.1,24,9999.9,0,999.9,0,5.0,24,9.6,24,23.3,999.9,36.3, ,32.0,*,0.46,G,1.6,11000
12330099999,2018-01-20,52.421031,16.826325,93.87,"LAWICA, PL",33.0,24,32.0,24,9999.9,0,999.9,0,2.4,24,4.2,24,8.0,999.9,34.5, ,28.4,*,0.07,G,1.6,111000
12330099999,2018-01-21,52.421031,16.826325,93.87,"LAWICA, PL",30.7,24,29.6,24,9999.9,0,999.9,0,2.0,24,3.3,24,7.0,999.9,33.8,*,28.2, ,0.0,G,1.6,101000
12330099999,2018-01-22,52.421031,16.826325,93.87,"LAWICA, PL",27.6,24,25.3,24,9999.9,0,999.9,0,2.6,24,8.1,24,13.6,999.9,32.2, ,24.8,*,0.0,G,1.2,100000
12330099999,2018-01-23,52.421031,16.826325,93.87,"LAWICA, PL",26.2,24,22.9,24,9999.9,0,999.9,0,2.9,24,5.6,24,9.9,999.9,32.4,*,19.4,*,0.0,F,1.2,0
12330099999,2018-01-24,52.421031,16.826325,93.87,"LAWICA, PL",38.9,24,37.2,24,9999.9,0,999.9,0,4.2,24,8.6,24,11.7,999.9,45.0, ,27.9, ,0.0,G,0.4,10000
12330099999,2018-01-25,52.421031,16.826325,93.87,"LAWICA, PL",43.2,24,39.5,24,9999.9,0,999.9,0,6.0,24,7.0,24,11.1,999.9,48.2,*,39.2,*,0.01,G,999.9,10000
12330099999,2018-01-26,52.421031,16.826325,93.87,"LAWICA, PL",40.1,24,36.6,24,9999.9,0,999.9,0,3.8,24,3.6,24,8.0,999.9,44.2, ,35.6,*,0.02,G,999.9,110000
12330099999,2018-01-27,52.421031,16.826325,93.87,"LAWICA, PL",39.1,24,38.7,24,9999.9,0,999.9,0,1.3,24,4.3,24,9.9,999.9,42.8,*,37.4,*,0.0,G,999.9,110000
12330099999,2018-01-28,52.421031,16.826325,93.87,"LAWICA, PL",43.1,24,39.6,24,9999.9,0,999.9,0,5.4,24,12.2,24,17.1,999.9,46.8, ,37.2, ,0.02,G,999.9,110000
12330099999,2018-01-29,52.421031,16.826325,93.87,"LAWICA, PL",47.9,24,44.6,24,9999.9,0,999.9,0,6.1,24,14.7,24,20.0,29.9,50.0, ,41.0,*,0.06,G,999.9,10000
12330099999,2018-01-30,52.421031,16.826325,93.87,"LAWICA, PL",39.3,24,33.5,24,9999.9,0,999.9,0,7.2,24,16.2,24,22.9,39.0,49.5, ,35.6,*,0.15,G,999.9,10000
