STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12250099999,1999-01-01,53.05,18.5833333,72.0,"TORUN, PL",29.3,8,25.5,8,1019.8,8,10.6,8,2.5,8,6.1,8,9.7,999.9,35.6, ,26.6, ,0.0,F,999.9,0
12250099999,1999-01-02,53.05,18.5833333,72.0,"TORUN, PL",26.8,8,24.6,8,1014.5,8,5.3,8,2.8,8,2.7,8,3.9,999.9,34.7, ,18.9, ,0.0,F,999.9,0
12250099999,1999-01-03,53.05,18.5833333,72.0,"TORUN, PL",31.0,5,28.0,5,1010.6,5,1.5,5,2.6,5,3.9,5,3.9,999.9,34.7, ,22.5, ,0.0,F,999.9,0
12250099999,1999-01-04,53.05,18.5833333,72.0,"TORUN, PL",32.5,8,31.1,8,1011.7,8,2.6,8,2.1,8,5.3,8,9.7,999.9,39.9,*,23.4, ,0.0,F,999.9,10000
12250099999,1999-01-05,53.05,18.5833333,72.0,"TORUN, PL",45.9,8,44.2,8,1012.4,8,3.6,8,3.4,8,7.5,8,11.7,999.9,50.0, ,38.5, ,0.12,F,999.9,10000
12250099999,1999-01-06,53.05,18.5833333,72.0,"TORUN, PL",47.8,8,43.1,8,1010.7,8,1.9,8,4.3,8,8.3,8,11.7,999.9,51.6, ,44.2, ,0.0,F,999.9,0
12250099999,1999-01-07,53.05,18.5833333,72.0,"TORUN, PL",43.5,8,36.1,8,999.4,8,990.6,8,5.7,8,8.3,8,11.7,999.9,49.3, ,37.4,*,0.03,F,999.9,10000
12250099999,1999-01-08,53.05,18.5833333,72.0,"TORUN, PL",35.7,6,33.7,6,1002.0,6,993.0,6,4.3,6,3.9,6,3.9,999.9,40.8, ,32.9, ,0.03,F,999.9,10000
12250099999,1999-01-09,53.05,18.5833333,72.0,"TORUN, PL",32.5,6,30.9,6,1004.3,6,995.3,6,2.3,6,3.9,6,5.8,999.9,36.0, ,31.5,*,0.04,F,999.9,100000
12250099999,1999-01-11,53.05,18.5833333,72.0,"TORUN, PL",26.4,7,22.0,7,1018.7,7,9.5,7,3.0,7,10.0,7,11.7,999.9,29.3, ,18.0, ,0.08,F,999.9,1000
12250099999,1999-01-12,53.05,18.5833333,72.0,"TORUN, PL",30.9,8,29.2,8,1003.7,8,994.6,8,1.6,8,8.7,8,13.6,999.9,33.1, ,27.1, ,0.24,F,1.6,1000
12250099999,1999-01-13,53.05,18.5833333,72.0,"TORUN, PL",27.4,8,22.6,8,1005.0,8,995.9,8,3.4,8,6.1,8,9.7,999.9,30.4, ,22.5, ,0.03,F,3.9,1000
12250099999,1999-01-14,53.05,18.5833333,72.0,"TORUN, PL",29.9,8,27.5,8,1002.3,8,993.3,8,2.5,8,5.3,8,7.8,999.9,35.6, ,15.1, ,0.06,F,3.9,11000
12250099999,1999-01-15,53.05,18.5833333,72.0,"TORUN, PL",35.2,8,33.1,8,1004.5,8,995.6,8,2.3,8,8.7,8,9.7,999.9,38.3, ,31.6, ,0.14,F,2.4,1000
12250099999,1999-01-16,53.05,18.5833333,72.0,"TORUN, PL",39.2,8,35.4,8,1008.8,8,999.9,8,3.0,8,6.3,8,7.8,999.9,42.1,*,34.2, ,0.0,F,1.6,0
12250099999,1999-01-17,53.05,18.5833333,72.0,"TORUN, PL",42.3,8,33.7,8,1014.7,8,5.8,8,5.7,8,4.1,8,5.8,999.9,49.8, ,36.9, ,0.0,F,999.9,0
12250099999,1999-01-18,53.05,18.5833333,72.0,"TORUN, PL",31.7,8,29.9,8,1023.1,8,13.9,8,2.1,8,1.7,8,3.9,999.9,41.5, ,27.3, ,0.0,F,999.9,100000
12250099999,1999-01-19,53.05,18.5833333,72.0,"TORUN, PL",32.7,8,30.8,8,1025.7,8,16.5,8,1.5,8,3.4,8,3.9,999.9,42.3, ,24.4, ,0.0,F,999.9,100000
12250099999,1999-01-20,53.05,18.5833333,72.0,"TORUN, PL",34.7,8,31.3,8,1024.6,8,15.5,8,2.5,8,4.6,8,5.8,999.9,43.5, ,29.1, ,0.0,F,999.9,0
12250099999,1999-01-21,53.05,18.5833333,72.0,"TORUN, PL",32.6,8,29.2,8,1024.0,8,14.8,8,2.5,8,3.2,8,5.8,999.9,40.3, ,27.7, ,0.0,F,999.9,0
12250099999,1999-01-22,53.05,18.5833333,72.0,"TORUN, PL",34.2,7,32.5,7,1023.6,7,14.5,7,2.1,7,3.3,7,3.9,999.9,37.9, ,28.9, ,0.05,F,999.9,110000
12250099999,1999-01-23,53.05,18.5833333,72.0,"TORUN, PL",33.1,7,28.9,7,1024.3,7,15.1,7,5.1,7,5.0,7,7.8,999.9,34.5, ,31.1, ,0.0,F,999.9,0
12250099999,1999-01-24,53.05,18.5833333,72.0,"TORUN, PL",36.1,8,33.5,8,1018.4,8,9.3,8,2.4,8,6.3,8,7.8,999.9,40.3,*,32.2, ,0.03,F,999.9,10000
12250099999,1999-01-25,53.05,18.5833333,72.0,"TORUN, PL",42.6,8,38.1,8,1012.5,8,3.6,8,3.4,8,10.2,8,15.5,999.9,49.6,*,38.3, ,0.03,F,999.9,10000
12250099999,1999-01-26,53.05,18.5833333,72.0,"TORUN, PL",41.5,8,38.2,8,1005.4,8,996.5,8,5.3,8,7.3,8,11.7,999.9,50.5, ,34.5,*,0.12,F,999.9,10000
12250099999,1999-01-27,53.05,18.5833333,72.0,"TORUN, PL",35.5,8,32.3,8,1001.6,8,992.7,8,4.8,8,4.9,8,5.8,999.9,40.3, ,32.2, ,0.0,F,999.9,10000
12250099999,1999-01-28,53.05,18.5833333,72.0,"TORUN, PL",30.4,8,24.9,8,1004.4,8,995.3,8,4.3,8,4.9,8,7.8,999.9,36.7, ,25.2, ,0.11,F,999.9,1000
12250099999,1999-01-29,53.05,18.5833333,72.0,"TORUN, PL",23.2,8,13.6,8,1018.1,8,8.8,8,5.3,8,7.3,8,9.7,999.9,28.2, ,20.1, ,0.01,F,0.8,1000
12250099999,1999-01-30,53.05,18.5833333,72.0,"TORUN, PL",15.5,8,8.6,8,1030.5,8,20.9,8,4.8,8,5.8,8,9.7,999.9,24.4, ,5.9,*,0.03,F,0.8,1000
12250099999,1999-01-31,53.05,18.5833333,72.0,"TORUN, PL",15.3,8,11.1,8,1037.0,8,27.3,8,3.9,8,3.9,8,5.8,999.9,25.3, ,1.0, ,0.0,F,1.2,1000
12250099999,1999-02-01,53.05,18.5833333,72.0,"TORUN, PL",26.4,7,24.7,7,1027.9,7,18.6,7,2.0,7,5.0,7,7.8,999.9,32.0,*,19.9, ,0.0,F,1.2,101000
12250099999,1999-02-02,53.05,18.5833333,72.0,"TORUN, PL",33.0,8,31.9,8,1026.5,8,17.3,8,2.2,8,5.1,8,5.8,999.9,35.6, ,30.9, ,0.0,F,0.8,0
12250099999,1999-02-03,53.05,18.5833333,72.0,"TORUN, PL",35.9,8,33.7,8,1020.3,8,11.2,8,2.6,8,8.3,8,11.7,999.9,41.2, ,32.0, ,0.06,F,999.9,10000
12250099999,1999-02-04,53.05,18.5833333,72.0,"TORUN, PL",39.8,8,38.0,8,1006.3,8,997.4,8,2.4,8,9.0,8,13.6,999.9,46.4, ,32.0, ,0.19,F,999.9,10000
12250099999,1999-02-05,53.05,18.5833333,72.0,"TORUN, PL",36.1,7,31.4,7,983.2,7,974.4,7,5.1,7,12.2,7,13.6,999.9,40.1, ,32.5, ,0.04,E,999.9,11000
12250099999,1999-02-06,53.05,18.5833333,72.0,"TORUN, PL",31.1,8,25.7,8,987.7,8,978.8,8,6.3,8,8.7,8,13.6,999.9,35.8, ,24.8, ,0.08,F,0.8,1000
12250099999,1999-02-07,53.05,18.5833333,72.0,"TORUN, PL",23.2,8,16.9,8,995.9,8,986.8,8,6.2,8,3.2,8,5.8,999.9,31.3, ,9.5, ,0.03,F,1.2,0
12250099999,1999-02-08,53.05,18.5833333,72.0,"TORUN, PL",26.0,7,21.4,7,995.3,7,986.3,7,4.6,7,6.7,7,9.7,999.9,32.7, ,14.2, ,0.04,F,1.2,1000
