STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12424099999,2006-01-01,51.102683,16.885836,123.13,"STRACHOWICE, PL",34.1,24,29.0,24,1007.0,4,991.5,4,5.7,24,3.9,24,9.7,999.9,37.4,*,29.8, ,0.0,G,3.9,110000
12424099999,2006-01-02,51.102683,16.885836,123.13,"STRACHOWICE, PL",33.0,24,30.7,24,1014.3,6,998.7,6,1.1,24,5.2,24,8.9,999.9,34.7, ,31.6, ,0.0,G,3.5,111000
12424099999,2006-01-03,51.102683,16.885836,123.13,"STRACHOWICE, PL",32.6,24,30.8,24,1021.1,4,5.3,4,1.5,24,7.2,24,9.9,999.9,34.0,*,31.6, ,0.22,G,4.7,1000
12424099999,2006-01-04,51.102683,16.885836,123.13,"STRACHOWICE, PL",33.0,24,30.6,24,1028.8,4,13.0,4,2.5,24,6.2,24,11.1,999.9,34.0, ,32.0,*,0.13,G,4.7,1000
12424099999,2006-01-05,51.102683,16.885836,123.13,"STRACHOWICE, PL",32.3,24,28.6,24,1030.4,4,14.5,4,5.6,24,11.6,24,17.5,999.9,34.0, ,30.0,*,0.04,G,4.3,11000
12424099999,2006-01-06,51.102683,16.885836,123.13,"STRACHOWICE, PL",29.4,24,25.9,24,9999.9,0,999.9,0,4.8,24,10.2,24,14.0,999.9,31.3, ,27.9, ,0.0,G,3.9,11000
12424099999,2006-01-07,51.102683,16.885836,123.13,"STRACHOWICE, PL",26.5,24,22.2,24,9999.9,0,999.9,0,6.0,24,8.7,24,11.7,999.9,30.2,*,18.0,*,0.0,G,3.5,1000
12424099999,2006-01-08,51.102683,16.885836,123.13,"STRACHOWICE, PL",16.6,24,14.3,24,1037.0,4,20.5,4,1.0,24,5.2,24,11.7,999.9,22.8, ,14.0,*,0.0,G,3.5,100000
12424099999,2006-01-09,51.102683,16.885836,123.13,"STRACHOWICE, PL",14.7,24,12.0,24,1037.9,4,21.3,4,0.7,24,2.8,24,6.0,999.9,19.4,*,7.2, ,0.0,F,3.5,100000
12424099999,2006-01-10,51.102683,16.885836,123.13,"STRACHOWICE, PL",18.4,24,15.2,24,1033.0,8,16.5,8,0.6,24,2.7,24,6.0,999.9,28.4,*,11.8, ,0.0,E,3.5,100000
12424099999,2006-01-11,51.102683,16.885836,123.13,"STRACHOWICE, PL",17.7,24,14.1,24,1030.7,6,14.3,6,0.7,24,1.6,24,5.8,999.9,28.0, ,11.5, ,0.0,F,3.1,100000
12424099999,2006-01-12,51.102683,16.885836,123.13,"STRACHOWICE, PL",26.6,24,24.6,24,9999.9,0,999.9,0,1.3,24,2.4,24,7.0,999.9,33.8,*,10.4,*,0.02,F,3.1,111000
12424099999,2006-01-13,51.102683,16.885836,123.13,"STRACHOWICE, PL",30.3,24,28.0,24,9999.9,0,999.9,0,2.9,24,5.8,24,11.7,999.9,32.5, ,25.9,*,0.0,F,2.8,110000
12424099999,2006-01-14,51.102683,16.885836,123.13,"STRACHOWICE, PL",23.4,24,21.7,24,1036.5,4,20.2,4,0.8,24,7.6,24,11.7,999.9,28.9, ,20.5,*,0.0,G,2.8,101000
12424099999,2006-01-15,51.102683,16.885836,123.13,"STRACHOWICE, PL",19.3,24,16.0,24,1034.6,4,18.2,4,2.9,24,4.8,24,9.7,999.9,26.6, ,13.1, ,0.0,G,2.8,0
