STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
12465099999,1994-01-01,51.7333333,19.4,190.0,"LODZ, PL",37.2,8,34.6,8,1005.6,8,999.9,0,6.0,8,8.5,8,15.5,999.9,40.8, ,33.8,*,0.08,F,999.9,10000
12465099999,1994-01-02,51.7333333,19.4,190.0,"LODZ, PL",33.9,7,31.0,7,1010.0,7,999.9,0,5.9,7,6.4,7,7.8,999.9,35.6, ,32.2,*,0.0,D,999.9,0
12465099999,1994-01-03,51.7333333,19.4,190.0,"LODZ, PL",32.2,8,31.1,7,1002.3,8,999.9,0,3.1,8,9.7,8,13.6,999.9,36.1, ,30.4, ,0.1,F,1.6,11000
12465099999,1994-01-04,51.7333333,19.4,190.0,"LODZ, PL",34.1,8,32.2,8,1005.2,8,999.9,0,4.8,8,5.8,8,11.7,999.9,40.8, ,29.8, ,0.02,E,0.4,10000
12465099999,1994-01-05,51.7333333,19.4,190.0,"LODZ, PL",37.5,8,35.6,8,1001.7,8,999.9,0,4.4,8,5.8,8,7.8,999.9,41.4, ,33.3, ,0.0,F,999.9,10000
12465099999,1994-01-06,51.7333333,19.4,190.0,"LODZ, PL",40.2,8,35.8,8,999.7,8,999.9,0,7.2,8,7.8,8,11.7,999.9,45.7, ,34.2, ,0.0,D,999.9,0
12465099999,1994-01-07,51.7333333,19.4,190.0,"LODZ, PL",40.7,8,37.1,8,1002.5,8,999.9,0,8.2,8,7.0,8,7.8,999.9,45.7, ,34.7, ,0.0,I,999.9,0
12465099999,1994-01-08,51.7333333,19.4,190.0,"LODZ, PL",41.1,7,38.1,7,1011.3,7,999.9,0,6.2,7,5.8,7,9.7,999.9,48.0, ,33.4,*,0.0,D,999.9,100000
12465099999,1994-01-09,51.7333333,19.4,190.0,"LODZ, PL",36.0,9,34.9,9,1018.5,9,999.9,0,1.9,9,6.0,9,9.7,999.9,37.4, ,32.5, ,0.0,E,999.9,10000
12465099999,1994-01-10,51.7333333,19.4,190.0,"LODZ, PL",36.0,8,35.7,7,1011.1,8,999.9,0,1.4,8,5.3,8,7.8,999.9,36.5, ,34.5, ,0.01,F,999.9,110000
12465099999,1994-01-11,51.7333333,19.4,190.0,"LODZ, PL",37.5,8,37.2,8,1007.9,8,999.9,0,1.3,8,5.1,8,5.8,999.9,40.1,*,34.7, ,0.0,E,999.9,110000
12465099999,1994-01-12,51.7333333,19.4,190.0,"LODZ, PL",40.1,7,38.0,7,1015.0,7,999.9,0,2.9,7,5.5,7,7.8,999.9,44.6, ,37.2, ,0.0,E,999.9,0
12465099999,1994-01-13,51.7333333,19.4,190.0,"LODZ, PL",42.6,6,40.2,6,1012.6,6,999.9,0,5.1,6,11.3,6,13.6,999.9,48.6, ,36.5, ,0.04,F,999.9,10000
12465099999,1994-01-14,51.7333333,19.4,190.0,"LODZ, PL",39.6,6,36.8,6,1013.3,6,999.9,0,9.5,6,8.7,6,9.7,999.9,45.5, ,37.0, ,0.0,E,999.9,0
12465099999,1994-01-15,51.7333333,19.4,190.0,"LODZ, PL",36.6,7,34.5,7,1009.9,7,999.9,0,8.2,7,7.5,7,9.7,999.9,39.0, ,34.0, ,0.01,E,999.9,10000
12465099999,1994-01-16,51.7333333,19.4,190.0,"LODZ, PL",35.0,8,33.7,8,1006.4,8,999.9,0,6.2,8,5.6,8,9.7,999.9,36.5,*,32.9,*,0.04,F,999.9,11000
12465099999,1994-01-17,51.7333333,19.4,190.0,"LODZ, PL",29.7,8,26.8,7,1013.9,8,999.9,0,4.1,8,6.3,8,11.7,999.9,32.2,*,26.1,*,0.12,F,999.9,1000
12465099999,1994-01-18,51.7333333,19.4,190.0,"LODZ, PL",23.9,8,18.9,8,1026.4,8,999.9,0,8.3,8,10.4,8,13.6,999.9,28.6,*,14.7, ,0.0,E,1.6,0
