STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,Year
10384099999,1931-01-01,52.473025,13.403944,50.9,"TEMPELHOF, GM",39.5,4,35.6,4,991.2,4,999.9,0,6.8,4,12.3,4,18.1,999.9,46.0,*,30.0, ,0.18,F,999.9,0,1931
10384099999,1931-01-02,52.473025,13.403944,50.9,"TEMPELHOF, GM",36.8,5,34.0,5,990.4,5,999.9,0,3.9,5,13.4,5,18.1,999.9,41.0, ,34.0, ,0.42,F,999.9,11000,1931
10384099999,1931-01-03,52.473025,13.403944,50.9,"TEMPELHOF, GM",35.6,5,32.8,5,1002.3,5,999.9,0,3.4,5,3.8,5,5.1,999.9,37.0, ,34.0, ,0.02,E,999.9,0,1931
10384099999,1931-01-05,52.473025,13.403944,50.9,"TEMPELHOF, GM",34.6,5,29.2,5,1005.3,5,999.9,0,7.7,5,17.4,5,23.9,999.9,39.0, ,34.0, ,0.05,F,999.9,11000,1931
10384099999,1931-01-06,52.473025,13.403944,50.9,"TEMPELHOF, GM",31.2,5,26.4,5,1015.5,5,999.9,0,5.2,5,9.8,5,13.0,999.9,32.0, ,28.0, ,0.02,E,999.9,1000,1931
10384099999,1931-01-07,52.473025,13.403944,50.9,"TEMPELHOF, GM",29.6,5,25.8,5,1026.8,5,999.9,0,2.3,5,6.6,5,8.9,999.9,32.0, ,28.0, ,0.04,F,999.9,1000,1931
10384099999,1931-01-08,52.473025,13.403944,50.9,"TEMPELHOF, GM",29.0,6,25.0,6,1029.6,6,999.9,0,2.9,6,4.7,6,8.9,999.9,34.0, ,27.0, ,0.05,F,999.9,1000,1931
10384099999,1931-01-09,52.473025,13.403944,50.9,"TEMPELHOF, GM",26.6,5,24.4,5,1028.0,5,999.9,0,2.4,5,5.4,5,8.9,999.9,28.0, ,21.0, ,0.04,F,999.9,1000,1931
10384099999,1931-01-10,52.473025,13.403944,50.9,"TEMPELHOF, GM",27.2,5,23.6,5,1027.5,5,999.9,0,1.1,5,4.7,5,13.0,999.9,32.0, ,25.0, ,0.0,I,999.9,0,1931
10384099999,1931-01-12,52.473025,13.403944,50.9,"TEMPELHOF, GM",32.8,5,26.5,5,1010.2,5,999.9,0,5.5,5,14.2,5,18.1,999.9,36.0, ,30.0, ,0.0,I,999.9,0,1931
10384099999,1931-01-13,52.473025,13.403944,50.9,"TEMPELHOF, GM",30.0,5,27.4,5,1007.3,5,999.9,0,3.1,5,5.8,5,8.9,999.9,32.0, ,28.0, ,0.05,F,999.9,11000,1931
10384099999,1931-01-14,52.473025,13.403944,50.9,"TEMPELHOF, GM",29.6,5,26.4,5,1006.1,5,999.9,0,1.4,5,4.4,5,5.1,999.9,32.0, ,28.0, ,0.06,F,999.9,1000,1931
10384099999,1931-01-15,52.473025,13.403944,50.9,"TEMPELHOF, GM",24.2,5,20.4,5,1014.5,5,999.9,0,2.4,5,10.0,5,23.9,999.9,30.0, ,19.0, ,0.05,F,999.9,1000,1931
10384099999,1931-01-16,52.473025,13.403944,50.9,"TEMPELHOF, GM",37.4,5,36.4,5,1001.4,5,999.9,0,3.1,5,21.6,5,29.9,999.9,41.0, ,30.0, ,0.59,F,999.9,10000,1931
10384099999,1931-01-17,52.473025,13.403944,50.9,"TEMPELHOF, GM",37.0,5,33.0,5,980.2,5,999.9,0,11.7,5,27.9,5,36.9,999.9,39.0, ,36.0,*,0.31,F,999.9,11000,1931
10384099999,1931-01-19,52.473025,13.403944,50.9,"TEMPELHOF, GM",34.4,5,32.3,5,1009.8,5,999.9,0,4.8,5,9.2,5,13.0,999.9,36.0, ,28.0, ,0.01,E,999.9,1000,1931
10384099999,1931-01-20,52.473025,13.403944,50.9,"TEMPELHOF, GM",31.0,5,28.2,5,1019.7,5,999.9,0,1.1,5,2.4,5,5.1,999.9,36.0, ,27.0, ,0.02,E,999.9,0,1931
10384099999,1931-01-21,52.473025,13.403944,50.9,"TEMPELHOF, GM",30.8,5,27.8,5,1025.8,5,999.9,0,1.9,5,7.4,5,8.9,999.9,32.0, ,27.0, ,0.04,F,999.9,1000,1931
10384099999,1931-01-22,52.473025,13.403944,50.9,"TEMPELHOF, GM",23.8,5,19.0,5,1025.7,5,999.9,0,6.5,5,13.4,5,18.1,999.9,28.0, ,21.0, ,0.0,I,999.9,0,1931
10384099999,1931-01-23,52.473025,13.403944,50.9,"TEMPELHOF, GM",36.0,5,33.2,5,1014.6,5,999.9,0,3.0,5,8.2,5,13.0,999.9,43.0, ,25.0, ,99.99, ,999.9,10000,1931
10384099999,1931-01-24,52.473025,13.403944,50.9,"TEMPELHOF, GM",40.6,5,35.8,5,993.9,5,999.9,0,8.5,5,14.6,5,23.9,999.9,48.0, ,34.0, ,0.28,F,999.9,10000,1931
10384099999,1931-01-26,52.473025,13.403944,50.9,"TEMPELHOF, GM",37.0,5,33.0,5,1006.1,5,999.9,0,4.5,5,9.0,5,13.0,999.9,39.0, ,30.0, ,0.02,E,999.9,0,1931
10384099999,1931-01-27,52.473025,13.403944,50.9,"TEMPELHOF, GM",35.6,5,34.1,5,1013.5,5,999.9,0,1.6,5,6.6,5,8.9,999.9,39.0, ,32.0, ,0.0,I,999.9,0,1931
10384099999,1931-01-28,52.473025,13.403944,50.9,"TEMPELHOF, GM",35.6,5,31.0,5,1008.7,5,999.9,0,2.6,5,6.6,5,13.0,999.9,39.0, ,32.0, ,0.01,E,999.9,1000,1931
10384099999,1931-01-29,52.473025,13.403944,50.9,"TEMPELHOF, GM",32.4,5,30.8,5,998.4,5,999.9,0,0.7,5,2.4,5,5.1,999.9,34.0, ,30.0, ,0.22,F,999.9,111000,1931
10384099999,1931-01-30,52.473025,13.403944,50.9,"TEMPELHOF, GM",32.0,5,26.5,5,1010.0,5,999.9,0,2.4,5,5.8,5,8.9,999.9,34.0,*,30.0, ,99.99, ,999.9,1000,1931
10384099999,1931-01-31,52.473025,13.403944,50.9,"TEMPELHOF, GM",29.2,5,27.0,5,1021.5,5,999.9,0,1.1,5,8.2,5,8.9,999.9,32.0, ,27.0, ,0.06,F,999.9,1000,1931
10384099999,1931-02-01,52.473025,13.403944,50.9,"TEMPELHOF, GM",28.4,5,26.2,5,1016.7,5,999.9,0,1.0,5,9.8,5,13.0,999.9,34.0, ,28.0, ,0.05,F,999.9,1000,1931
10384099999,1931-02-02,52.473025,13.403944,50.9,"TEMPELHOF, GM",26.4,5,25.0,5,1018.7,5,999.9,0,0.9,5,5.8,5,8.9,999.9,30.0, ,23.0, ,0.0,I,999.9,100000,1931
10384099999,1931-02-03,52.473025,13.403944,50.9,"TEMPELHOF, GM",27.4,5,25.2,5,1017.1,5,999.9,0,1.0,5,10.6,5,13.0,999.9,30.0, ,25.0,*,0.05,F,999.9,1000,1931
10384099999,1931-02-04,52.473025,13.403944,50.9,"TEMPELHOF, GM",25.4,5,20.6,5,1021.5,5,999.9,0,2.6,5,4.4,5,5.1,999.9,27.0, ,23.0, ,0.04,F,999.9,1000,1931
10384099999,1931-02-05,52.473025,13.403944,50.9,"TEMPELHOF, GM",21.7,6,18.1,6,1021.5,6,999.9,0,1.2,6,4.1,6,8.9,999.9,23.0, ,21.0, ,0.03,F,999.9,1000,1931
10384099999,1931-02-06,52.473025,13.403944,50.9,"TEMPELHOF, GM",19.4,5,16.8,5,1021.2,5,999.9,0,1.9,5,1.8,5,5.1,999.9,25.0, ,14.0, ,0.1,F,999.9,1000,1931
10384099999,1931-02-07,52.473025,13.403944,50.9,"TEMPELHOF, GM",19.8,5,15.6,5,1019.0,5,999.9,0,1.4,5,6.6,5,8.9,999.9,21.0, ,19.0, ,0.04,F,999.9,1000,1931
10384099999,1931-02-09,52.473025,13.403944,50.9,"TEMPELHOF, GM",20.8,5,15.4,5,1027.8,5,999.9,0,1.6,5,7.4,5,13.0,999.9,28.0, ,16.0, ,0.0,I,999.9,0,1931
10384099999,1931-02-10,52.473025,13.403944,50.9,"TEMPELHOF, GM",27.4,5,19.0,5,1017.8,5,999.9,0,3.7,5,9.8,5,18.1,999.9,39.0, ,16.0, ,0.0,I,999.9,0,1931
10384099999,1931-02-11,52.473025,13.403944,50.9,"TEMPELHOF, GM",38.2,5,33.0,5,1017.5,5,999.9,0,2.5,5,12.2,5,13.0,999.9,41.0, ,36.0, ,0.02,E,999.9,10000,1931
10384099999,1931-02-12,52.473025,13.403944,50.9,"TEMPELHOF, GM",34.6,5,31.8,5,995.8,5,999.9,0,2.9,5,16.6,5,29.9,999.9,43.0, ,32.0,*,3.66,F,999.9,11000,1931
10384099999,1931-02-13,52.473025,13.403944,50.9,"TEMPELHOF, GM",34.8,5,31.4,5,994.5,5,999.9,0,2.9,5,9.0,5,13.0,999.9,39.0, ,32.0, ,0.05,F,999.9,11000,1931
10384099999,1931-02-14,52.473025,13.403944,50.9,"TEMPELHOF, GM",29.0,5,25.8,5,1005.9,5,999.9,0,1.4,5,8.2,5,13.0,999.9,32.0, ,27.0, ,0.0,I,999.9,0,1931
10384099999,1931-02-16,52.473025,13.403944,50.9,"TEMPELHOF, GM",30.4,5,24.0,5,1000.2,5,999.9,0,2.6,5,9.0,5,13.0,999.9,37.0, ,25.0, ,0.0,I,999.9,0,1931
10384099999,1931-02-17,52.473025,13.403944,50.9,"TEMPELHOF, GM",31.8,5,23.8,5,999.5,5,999.9,0,6.5,5,11.6,5,18.1,999.9,39.0, ,27.0, ,0.0,I,999.9,0,1931
10384099999,1931-02-18,52.473025,13.403944,50.9,"TEMPELHOF, GM",33.0,5,27.2,5,1006.3,5,999.9,0,2.0,5,11.6,5,18.1,999.9,39.0, ,27.0, ,0.01,E,999.9,11000,1931
10384099999,1931-02-19,52.473025,13.403944,50.9,"TEMPELHOF, GM",32.8,5,31.2,5,1014.3,5,999.9,0,0.7,5,0.4,5,5.1,999.9,36.0, ,30.0, ,0.0,I,999.9,100000,1931
10384099999,1931-02-20,52.473025,13.403944,50.9,"TEMPELHOF, GM",31.6,5,30.6,5,1017.2,5,999.9,0,0.3,5,3.2,5,8.9,999.9,34.0, ,30.0, ,0.02,E,999.9,100000,1931
10384099999,1931-02-21,52.473025,13.403944,50.9,"TEMPELHOF, GM",33.2,5,32.2,5,1010.2,5,999.9,0,0.2,5,4.4,5,5.1,999.9,36.0, ,32.0, ,0.02,E,999.9,100000,1931
10384099999,1931-02-23,52.473025,13.403944,50.9,"TEMPELHOF, GM",34.2,5,28.6,5,1020.1,5,999.9,0,2.7,5,7.5,5,8.9,999.9,39.0, ,32.0, ,0.28,E,999.9,0,1931
10384099999,1931-02-24,52.473025,13.403944,50.9,"TEMPELHOF, GM",30.8,5,28.7,5,1026.2,5,999.9,0,0.2,5,0.0,5,1.9,999.9,41.0, ,25.0, ,0.0,I,999.9,100000,1931
10384099999,1931-02-25,52.473025,13.403944,50.9,"TEMPELHOF, GM",33.2,5,29.8,5,1021.5,5,999.9,0,1.0,5,9.8,5,18.1,999.9,39.0, ,28.0, ,0.06,F,999.9,11000,1931
10384099999,1931-02-26,52.473025,13.403944,50.9,"TEMPELHOF, GM",41.8,5,38.4,5,1006.1,5,999.9,0,2.1,5,17.4,5,23.9,999.9,46.0, ,36.0, ,0.16,F,999.9,10000,1931
10384099999,1931-02-27,52.473025,13.403944,50.9,"TEMPELHOF, GM",39.0,5,30.0,5,1007.9,5,999.9,0,6.7,5,14.6,5,23.9,999.9,45.0, ,36.0, ,0.2,F,999.9,10100,1931
10384099999,1931-02-28,52.473025,13.403944,50.9,"TEMPELHOF, GM",36.0,5,33.8,5,992.3,5,999.9,0,1.9,5,14.5,5,23.9,999.9,45.0, ,28.0, ,0.35,E,999.9,11000,1931
10384099999,1931-03-01,52.473025,13.403944,50.9,"TEMPELHOF, GM",34.2,4,28.3,4,987.9,4,999.9,0,10.9,4,17.0,4,23.9,999.9,37.0, ,30.0,*,0.42,F,999.9,0,1931
10384099999,1931-03-02,52.473025,13.403944,50.9,"TEMPELHOF, GM",29.4,5,21.8,5,1009.1,5,999.9,0,6.0,5,9.8,5,13.0,999.9,36.0, ,25.0,*,99.99, ,999.9,11000,1931
10384099999,1931-03-03,52.473025,13.403944,50.9,"TEMPELHOF, GM",33.0,5,24.3,4,1011.3,5,999.9,0,4.0,5,11.6,5,18.1,999.9,39.0, ,28.0,*,0.0,I,999.9,0,1931
10384099999,1931-03-04,52.473025,13.403944,50.9,"TEMPELHOF, GM",29.2,5,21.2,5,1016.0,5,999.9,0,4.8,5,5.6,5,13.0,999.9,34.0, ,23.0, ,0.02,E,999.9,11000,1931
10384099999,1931-03-05,52.473025,13.403944,50.9,"TEMPELHOF, GM",25.0,5,19.6,5,1024.4,5,999.9,0,2.9,5,0.8,5,5.1,999.9,36.0, ,19.0, ,0.02,E,999.9,0,1931
10384099999,1931-03-06,52.473025,13.403944,50.9,"TEMPELHOF, GM",26.0,5,21.8,5,1013.8,5,999.9,0,1.7,5,8.0,5,13.0,999.9,28.0, ,23.0, ,0.04,E,999.9,1000,1931
10384099999,1931-03-07,52.473025,13.403944,50.9,"TEMPELHOF, GM",23.8,5,15.2,5,1010.5,5,999.9,0,4.0,5,8.2,5,13.0,999.9,30.0, ,16.0, ,0.04,F,999.9,1000,1931
10384099999,1931-03-09,52.473025,13.403944,50.9,"TEMPELHOF, GM",23.6,5,18.8,5,1003.8,5,999.9,0,2.7,5,5.2,5,8.9,999.9,28.0, ,14.0, ,0.04,F,999.9,1000,1931
10384099999,1931-03-10,52.473025,13.403944,50.9,"TEMPELHOF, GM",26.2,4,22.8,4,1001.2,4,999.9,0,1.9,4,1.9,4,5.1,999.9,30.0, ,21.0, ,0.06,F,999.9,1000,1931
10384099999,1931-03-11,52.473025,13.403944,50.9,"TEMPELHOF, GM",22.6,5,19.5,5,995.2,5,999.9,0,1.6,5,16.6,5,23.9,999.9,30.0, ,12.0, ,0.2,F,999.9,1000,1931
10384099999,1931-03-12,52.473025,13.403944,50.9,"TEMPELHOF, GM",30.0,5,27.6,5,994.7,5,999.9,0,2.1,5,26.3,5,29.9,999.9,36.0, ,23.0, ,0.24,F,999.9,11000,1931
10384099999,1931-03-13,52.473025,13.403944,50.9,"TEMPELHOF, GM",35.4,5,27.6,5,1005.3,5,999.9,0,9.2,5,13.4,5,18.1,999.9,43.0, ,30.0, ,0.02,E,999.9,0,1931
10384099999,1931-03-14,52.473025,13.403944,50.9,"TEMPELHOF, GM",36.0,5,23.8,5,1005.9,5,999.9,0,9.7,5,6.2,5,13.0,999.9,48.0, ,23.0, ,0.0,I,999.9,0,1931
10384099999,1931-03-16,52.473025,13.403944,50.9,"TEMPELHOF, GM",33.0,5,27.8,5,1016.8,5,999.9,0,2.0,5,5.4,5,13.0,999.9,39.0, ,27.0, ,0.0,I,999.9,0,1931
10384099999,1931-03-17,52.473025,13.403944,50.9,"TEMPELHOF, GM",31.8,5,23.4,5,1028.5,5,999.9,0,10.4,5,9.8,5,13.0,999.9,39.0,*,25.0, ,0.0,I,999.9,0,1931
10384099999,1931-03-18,52.473025,13.403944,50.9,"TEMPELHOF, GM",34.0,5,21.2,5,1025.8,5,999.9,0,10.2,5,9.0,5,13.0,999.9,45.0, ,25.0, ,0.0,I,999.9,0,1931
10384099999,1931-03-19,52.473025,13.403944,50.9,"TEMPELHOF, GM",37.2,6,27.3,6,1022.0,6,999.9,0,5.5,6,7.0,6,8.9,999.9,54.0, ,27.0, ,0.0,I,999.9,0,1931
10384099999,1931-03-20,52.473025,13.403944,50.9,"TEMPELHOF, GM",40.6,5,31.7,5,1022.5,5,999.9,0,6.2,5,8.2,5,13.0,999.9,52.0, ,30.0, ,0.0,I,999.9,0,1931
10384099999,1931-03-21,52.473025,13.403944,50.9,"TEMPELHOF, GM",46.8,5,37.4,5,1016.3,5,999.9,0,6.2,5,9.0,5,13.0,999.9,57.0, ,34.0, ,0.0,I,999.9,0,1931
10384099999,1931-03-23,52.473025,13.403944,50.9,"TEMPELHOF, GM",47.2,5,44.8,5,1017.6,5,999.9,0,0.6,5,4.8,5,18.1,999.9,54.0, ,41.0, ,0.04,F,999.9,11000,1931
10384099999,1931-03-24,52.473025,13.403944,50.9,"TEMPELHOF, GM",41.2,5,39.0,5,1021.5,5,999.9,0,0.4,5,1.8,5,8.9,999.9,54.0, ,34.0, ,0.06,F,999.9,110000,1931
10384099999,1931-03-25,52.473025,13.403944,50.9,"TEMPELHOF, GM",39.0,5,28.2,5,1031.1,5,999.9,0,3.7,5,12.2,5,18.1,999.9,43.0,*,37.0, ,0.02,E,999.9,0,1931
10384099999,1931-03-26,52.473025,13.403944,50.9,"TEMPELHOF, GM",37.6,5,21.0,5,1033.2,5,999.9,0,6.7,5,4.0,5,13.0,999.9,46.0, ,25.0, ,0.0,I,999.9,0,1931
10384099999,1931-03-27,52.473025,13.403944,50.9,"TEMPELHOF, GM",35.2,5,31.2,5,1025.7,5,999.9,0,1.5,5,3.6,5,8.9,999.9,39.0, ,30.0, ,0.0,I,999.9,100000,1931
10384099999,1931-03-28,52.473025,13.403944,50.9,"TEMPELHOF, GM",36.6,5,30.0,5,1015.4,5,999.9,0,1.7,5,9.4,5,18.1,999.9,43.0, ,30.0, ,99.99, ,999.9,10000,1931
10384099999,1931-03-30,52.473025,13.403944,50.9,"TEMPELHOF, GM",34.2,5,23.8,5,1026.4,5,999.9,0,5.0,5,8.4,5,13.0,999.9,37.0, ,28.0, ,0.02,E,999.9,11000,1931
10384099999,1931-03-31,52.473025,13.403944,50.9,"TEMPELHOF, GM",31.8,5,18.8,5,1026.6,5,999.9,0,6.7,5,12.4,5,18.1,999.9,39.0,*,25.0, ,0.0,I,999.9,0,1931
10384099999,1931-04-01,52.473025,13.403944,50.9,"TEMPELHOF, GM",36.4,5,23.0,5,1024.9,5,999.9,0,2.4,5,3.8,5,8.9,999.9,46.0, ,23.0, ,0.0,I,999.9,100000,1931
10384099999,1931-04-02,52.473025,13.403944,50.9,"TEMPELHOF, GM",35.0,7,25.6,7,1021.1,7,999.9,0,13.5,7,11.4,7,18.1,999.9,43.0, ,30.0, ,0.0,I,999.9,0,1931
