STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,Year
8579099999,1984-05-02,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",58.9,4,49.8,4,1008.7,4,999.9,0,7.8,4,13.5,4,19.0,999.9,63.7, ,56.1,*,0.02,E,999.9,0,1984
8579099999,1984-05-03,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",58.2,8,48.8,8,1015.6,8,999.9,0,4.7,8,9.0,8,16.9,999.9,65.8, ,52.5, ,0.01,E,999.9,0,1984
8579099999,1984-05-04,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",56.4,8,48.4,8,1018.4,8,999.9,0,5.0,8,4.6,8,12.0,999.9,63.5, ,48.2, ,0.0,D,999.9,0,1984
8579099999,1984-05-05,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",57.0,8,51.1,8,1016.0,7,999.9,0,9.3,8,3.1,8,6.0,999.9,63.3, ,50.4, ,0.0,D,999.9,0,1984
8579099999,1984-05-06,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",58.5,8,51.7,8,1014.4,8,999.9,0,8.7,8,2.9,8,6.0,999.9,64.4, ,52.9, ,0.0,E,999.9,0,1984
8579099999,1984-05-07,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",58.1,8,47.2,8,1011.9,8,999.9,0,10.7,8,6.8,8,14.0,999.9,65.8, ,51.1, ,0.0,C,999.9,0,1984
8579099999,1984-05-08,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",56.7,8,50.9,8,1007.9,8,999.9,0,6.5,8,7.6,8,14.0,999.9,63.0, ,53.2, ,0.02,C,999.9,10010,1984
8579099999,1984-05-09,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",59.3,8,47.6,8,1009.8,8,999.9,0,7.9,8,7.6,8,14.0,999.9,65.3, ,54.0, ,0.01,E,999.9,0,1984
8579099999,1984-05-10,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",58.2,7,41.1,7,1011.7,6,999.9,0,6.6,7,9.9,7,15.9,999.9,69.4, ,50.7, ,0.0,D,999.9,0,1984
8579099999,1984-05-11,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",61.0,8,44.3,8,1014.7,8,999.9,0,7.3,8,5.9,8,14.0,999.9,72.7, ,51.8, ,0.0,D,999.9,0,1984
8579099999,1984-05-12,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",62.3,8,46.0,8,1016.6,8,999.9,0,9.5,8,6.3,8,14.0,999.9,74.3, ,50.0, ,0.0,D,999.9,0,1984
8579099999,1984-05-13,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",59.4,8,44.5,8,1012.7,8,999.9,0,9.4,8,11.1,8,23.9,999.9,66.7, ,54.5, ,0.0,D,999.9,0,1984
8579099999,1984-05-14,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",56.3,8,44.1,8,1010.8,8,999.9,0,8.4,8,17.3,8,23.9,999.9,61.7, ,52.2, ,0.0,D,999.9,0,1984
8579099999,1984-05-15,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",54.9,8,44.9,8,1009.5,8,999.9,0,8.2,8,11.8,8,18.1,999.9,60.8, ,50.4, ,0.0,D,999.9,0,1984
8579099999,1984-05-16,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",55.2,8,43.7,8,1009.7,8,999.9,0,10.0,8,11.1,8,15.9,999.9,61.5, ,49.1, ,0.02,F,999.9,0,1984
8579099999,1984-05-17,38.7666666,-9.1333333,105.0,"LISBOA GAGO COUTINHO, PO",54.7,8,48.4,7,1005.9,8,999.9,0,8.1,8,11.2,8,20.0,999.9,61.2, ,50.4, ,1.22,F,999.9,10000,1984
